Rank,Team,GM,W-L,FGM,FGA,FG%
237,San Jose St. (Mountain West),35,21-14,869,"1,996",43.5
238,SIUE (OVC),33,19-14,834,"1,917",43.5
239,Oakland (Horizon),32,13-19,823,"1,892",43.5
240,Coppin St. (MEAC),32,9-23,779,"1,791",43.5
241,Missouri St. (MVC),32,17-15,772,"1,776",43.5
242,Colorado (Pac-12),35,18-17,894,"2,059",43.4
243,Coastal Carolina (Sun Belt),31,11-20,816,"1,880",43.4
244,Illinois St. (MVC),32,11-21,737,"1,699",43.4
245,North Carolina (ACC),33,20-13,866,"1,997",43.4
246,Siena (MAAC),32,17-15,766,"1,769",43.3
247,Tennessee (SEC),36,25-11,908,"2,097",43.3
248,Quinnipiac (MAAC),32,20-12,826,"1,908",43.3
249,Detroit Mercy (Horizon),33,14-19,876,"2,024",43.3
250,Minnesota (Big Ten),31,9-22,720,"1,664",43.3
251,Chicago St. (DI Independent),31,11-20,760,"1,757",43.3
252,William & Mary (CAA),33,13-20,791,"1,829",43.2
253,Western Caro. (SoCon),34,18-16,871,"2,015",43.2
254,Texas A&M (SEC),35,25-10,835,"1,932",43.2
255,UNLV (Mountain West),32,19-13,819,"1,895",43.2
256,Arkansas St. (Sun Belt),33,13-20,777,"1,799",43.2
257,Western Mich. (MAC),31,8-23,786,"1,820",43.2
258,The Citadel (SoCon),32,10-22,771,"1,786",43.2
259,Sacred Heart (NEC),33,16-17,864,"2,002",43.2
260,South Dakota (Summit League),31,12-19,755,"1,750",43.1
261,Washington (Pac-12),32,16-16,786,"1,823",43.1
262,McNeese (Southland),34,11-23,858,"1,991",43.1
263,Rutgers (Big Ten),34,19-15,867,"2,012",43.1
264,Drexel (CAA),32,17-15,773,"1,794",43.1
265,Lamar University (Southland),31,9-22,761,"1,767",43.1
266,Fresno St. (Mountain West),31,11-20,720,"1,673",43
267,Cal St. Fullerton (Big West),33,20-13,779,"1,812",43
268,Southern U. (SWAC),32,15-17,804,"1,872",42.9
269,Hawaii (Big West),33,22-11,772,"1,799",42.9
270,NJIT (America East),30,7-23,744,"1,734",42.9
