Rank,Team,GM,W-L,3FG,3FGA,3FGA PG
297,Murray St. (MVC),32,17-15,197,593,18.5
298,Alabama A&M (SWAC),33,15-18,226,610,18.5
299,American (Patriot),32,17-15,204,589,18.4
300,Niagara (MAAC),31,16-15,196,570,18.4
301,Florida A&M (SWAC),29,7-22,167,533,18.4
302,UNCW (CAA),34,24-10,209,624,18.4
303,Montana St. (Big Sky),35,25-10,216,642,18.3
304,Little Rock (OVC),31,10-21,185,567,18.3
305,UMass Lowell (America East),34,26-8,236,619,18.2
306,TCU (Big 12),35,22-13,197,636,18.2
307,Radford (Big South),36,21-15,235,654,18.2
308,Delaware St. (MEAC),30,6-24,171,542,18.1
309,Morgan St. (MEAC),31,15-16,206,559,18
310,Kentucky (SEC),34,22-12,213,613,18
311,Arkansas St. (Sun Belt),33,13-20,209,593,18
312,CSUN (Big West),32,7-25,184,575,18
313,UIW (Southland),31,12-19,194,557,18
314,Georgia St. (Sun Belt),31,10-21,164,556,17.9
314,Lamar University (Southland),31,9-22,178,556,17.9
316,Massachusetts (Atlantic 10),31,15-16,182,555,17.9
317,Rutgers (Big Ten),34,19-15,195,608,17.9
318,Boston College (ACC),33,16-17,188,590,17.9
319,Rhode Island (Atlantic 10),31,9-22,168,553,17.8
320,Mercer (SoCon),33,14-19,196,586,17.8
321,Seton Hall (Big East),33,17-16,190,585,17.7
322,St. John's (NY) (Big East),33,18-15,193,583,17.7
323,UCLA (Pac-12),37,31-6,227,651,17.6
324,VCU (Atlantic 10),35,27-8,212,610,17.4
325,Memphis (AAC),35,26-9,215,609,17.4
326,Wright St. (Horizon),33,18-15,205,574,17.4
327,Alcorn (SWAC),32,18-14,164,554,17.3
328,Binghamton (America East),31,13-18,172,533,17.2
329,Syracuse (ACC),32,17-15,198,547,17.1
330,Omaha (Summit League),32,9-23,183,540,16.9
331,Old Dominion (Sun Belt),31,19-12,164,523,16.9
332,Texas Southern (SWAC),35,14-21,163,588,16.8
333,UTEP (CUSA),32,14-18,158,537,16.8
334,SFA (WAC),32,19-13,203,532,16.6
335,Cleveland St. (Horizon),35,21-14,178,580,16.6
336,California (Pac-12),32,3-29,156,524,16.4
337,New Orleans (Southland),32,12-20,196,519,16.2
338,New Mexico (Mountain West),34,22-12,192,545,16
339,Eastern Ill. (OVC),31,9-22,162,493,15.9
340,Arkansas (SEC),36,22-14,179,572,15.9
341,UC Santa Barbara (Big West),35,27-8,194,555,15.9
342,Indiana (Big Ten),35,23-12,200,544,15.5
343,IU Indy (Horizon),32,5-27,146,492,15.4
344,Long Beach St. (Big West),33,17-16,146,494,15
345,Rider (MAAC),30,16-14,150,449,15
346,Grambling (SWAC),33,24-9,174,489,14.8
347,Mississippi Val. (SWAC),32,5-27,162,464,14.5
348,LIU (NEC),29,3-26,142,420,14.5
349,Texas St. (Sun Belt),35,16-19,154,501,14.3
350,Monmouth (CAA),33,7-26,134,466,14.1
351,Denver (Summit League),32,15-17,144,442,13.8
352,CSU Bakersfield (Big West),33,11-22,142,437,13.2
