Rank,Team,GM,W-L,AST,TO,Ratio
210,George Washington (Atlantic 10),32,16-16,406,403,1.01
211,NJIT (America East),30,7-23,336,334,1.01
212,Bucknell (Patriot),32,12-20,429,427,1.00
213,West Virginia (Big 12),34,19-15,442,440,1.00
214,Drexel (CAA),32,17-15,374,373,1.00
215,Western Mich. (MAC),31,8-23,396,395,1.00
216,Bryant (America East),30,17-13,403,402,1.00
217,LSU (SEC),33,14-19,406,405,1.00
218,Radford (Big South),36,21-15,426,426,1.00
219,George Mason (Atlantic 10),33,20-13,452,453,1.00
220,Seattle U (WAC),32,20-12,381,382,1.00
221,East Carolina (AAC),33,16-17,433,435,1.00
222,ULM (Sun Belt),32,11-21,403,405,1.00
223,Hampton (CAA),32,8-24,352,354,0.99
224,Purdue Fort Wayne (Horizon),32,17-15,418,421,0.99
225,Gardner-Webb (Big South),31,15-16,399,403,0.99
226,Rider (MAAC),30,16-14,341,345,0.99
227,Washington St. (Pac-12),34,17-17,403,408,0.99
228,Southern Utah (WAC),37,24-13,485,492,0.99
229,Elon (CAA),32,8-24,389,395,0.98
230,UTRGV (WAC),32,15-17,505,514,0.98
231,South Fla. (AAC),32,14-18,429,437,0.98
232,Colorado (Pac-12),35,18-17,454,463,0.98
233,SFA (WAC),32,19-13,482,493,0.98
234,Norfolk St. (MEAC),33,22-11,424,434,0.98
235,Harvard (Ivy League),28,14-14,372,381,0.98
236,North Dakota St. (Summit League),33,16-17,370,379,0.98
237,UT Arlington (WAC),32,11-21,432,443,0.98
238,VCU (Atlantic 10),35,27-8,456,468,0.97
239,Oklahoma (Big 12),32,15-17,417,428,0.97
240,N.C. A&T (CAA),32,13-19,375,385,0.97
241,Siena (MAAC),32,17-15,409,420,0.97
242,American (Patriot),32,17-15,436,448,0.97
243,Georgetown (Big East),32,7-25,380,392,0.97
244,Houston Christian (Southland),32,10-22,474,489,0.97
245,SIUE (OVC),33,19-14,407,421,0.97
246,UNI (MVC),32,14-18,372,385,0.97
247,Southern U. (SWAC),32,15-17,451,468,0.96
248,Illinois (Big Ten),33,20-13,409,426,0.96
249,Morgan St. (MEAC),31,15-16,479,500,0.96
250,N.C. Central (MEAC),30,18-12,439,459,0.96
251,La Salle (Atlantic 10),34,15-19,408,427,0.96
252,Massachusetts (Atlantic 10),31,15-16,423,443,0.95
253,New Mexico St. (WAC),24,9-15,291,305,0.95
254,Missouri St. (MVC),32,17-15,374,393,0.95
255,Northern Colo. (Big Sky),32,12-20,363,382,0.95
256,Omaha (Summit League),32,9-23,380,400,0.95
257,North Texas (CUSA),38,31-7,428,451,0.95
258,Saint Joseph's (Atlantic 10),33,16-17,399,421,0.95
259,Old Dominion (Sun Belt),31,19-12,328,348,0.94
260,Stony Brook (CAA),33,11-22,389,413,0.94
261,St. Bonaventure (Atlantic 10),32,14-18,380,405,0.94
262,Fordham (Atlantic 10),33,25-8,418,446,0.94
263,Texas Tech (Big 12),32,16-16,413,441,0.94
264,Wyoming (Mountain West),31,9-22,345,371,0.93
265,Central Ark. (ASUN),31,9-22,384,413,0.93
266,San Francisco (WCC),34,20-14,436,469,0.93
267,Jacksonville St. (ASUN),31,13-18,381,410,0.93
268,Niagara (MAAC),31,16-15,339,365,0.93
269,The Citadel (SoCon),32,10-22,365,393,0.93
270,ETSU (SoCon),32,12-20,390,420,0.93
271,Lamar University (Southland),31,9-22,409,441,0.93
272,Samford (SoCon),32,21-11,374,405,0.92
273,Loyola Chicago (Atlantic 10),31,10-21,428,464,0.92
274,LMU (CA) (WCC),31,19-12,366,397,0.92
275,South Dakota St. (Summit League),32,19-13,341,371,0.92
276,UMES (MEAC),31,18-13,417,454,0.92
277,Milwaukee (Horizon),34,22-12,472,515,0.92
278,Hawaii (Big West),33,22-11,367,401,0.92
279,Howard (MEAC),35,22-13,523,573,0.91
280,Manhattan (MAAC),30,12-18,370,406,0.91
281,Mount St. Mary's (MAAC),33,13-20,410,450,0.91
282,Marist (MAAC),33,13-20,357,392,0.91
283,Ga. Southern (Sun Belt),33,17-16,343,378,0.91
284,Louisiana Tech (CUSA),33,15-18,408,451,0.90
285,Hartford (DI Independent),28,5-23,364,403,0.90
286,UNC Asheville (Big South),35,27-8,446,496,0.90
287,Chicago St. (DI Independent),31,11-20,379,422,0.90
288,UIW (Southland),31,12-19,382,426,0.90
289,South Carolina St. (MEAC),31,5-26,435,486,0.90
290,UNCW (CAA),34,24-10,365,408,0.89
291,Binghamton (America East),31,13-18,361,404,0.89
292,Oklahoma St. (Big 12),36,20-16,452,507,0.89
293,St. Francis Brooklyn (NEC),30,14-16,369,414,0.89
294,Dartmouth (Ivy League),28,10-18,360,404,0.89
295,USC Upstate (Big South),32,16-16,374,421,0.89
296,VMI (SoCon),32,7-25,365,411,0.89
297,LIU (NEC),29,3-26,420,475,0.88
298,Seton Hall (Big East),33,17-16,401,454,0.88
299,NIU (MAC),32,13-19,402,458,0.88
300,UAlbany (America East),31,8-23,363,414,0.88
301,Tulsa (AAC),30,5-25,348,397,0.88
302,Bethune-Cookman (SWAC),32,12-20,362,413,0.88
303,High Point (Big South),31,14-17,383,438,0.87
304,Northeastern (CAA),30,10-20,377,432,0.87
305,Boston U. (Patriot),32,15-17,335,384,0.87
306,Cal St. Fullerton (Big West),33,20-13,340,391,0.87
307,Georgia St. (Sun Belt),31,10-21,342,400,0.86
308,Saint Peter's (MAAC),32,14-18,336,393,0.85
309,Grambling (SWAC),33,24-9,405,475,0.85
310,New Orleans (Southland),32,12-20,466,547,0.85
311,Columbia (Ivy League),29,7-22,340,401,0.85
312,Georgia (SEC),32,16-16,358,423,0.85
313,South Carolina (SEC),32,11-21,355,421,0.84
314,Texas St. (Sun Belt),35,16-19,346,411,0.84
315,Alabama A&M (SWAC),33,15-18,419,498,0.84
316,FIU (CUSA),32,14-18,397,473,0.84
317,CSU Bakersfield (Big West),33,11-22,355,424,0.84
318,Ark.-Pine Bluff (SWAC),31,10-21,396,473,0.84
319,Evansville (MVC),32,5-27,328,392,0.84
320,Weber St. (Big Sky),33,18-15,351,422,0.83
321,Monmouth (CAA),33,7-26,395,476,0.83
322,UC Davis (Big West),32,18-14,389,471,0.83
323,Washington (Pac-12),32,16-16,368,448,0.82
324,Winthrop (Big South),32,15-17,366,447,0.82
325,Eastern Mich. (MAC),31,8-23,299,367,0.81
326,Middle Tenn. (CUSA),33,19-14,357,439,0.81
327,Fairfield (MAAC),31,13-18,296,367,0.81
328,Texas Southern (SWAC),35,14-21,412,511,0.81
329,Prairie View (SWAC),32,13-19,352,438,0.80
330,Presbyterian (Big South),32,5-27,344,430,0.80
331,Rhode Island (Atlantic 10),31,9-22,347,437,0.79
332,Jackson St. (SWAC),33,14-19,406,514,0.79
333,CSUN (Big West),32,7-25,314,400,0.79
334,Green Bay (Horizon),32,3-29,350,447,0.78
335,Alcorn (SWAC),32,18-14,316,404,0.78
336,Delaware St. (MEAC),30,6-24,372,481,0.77
337,McNeese (Southland),34,11-23,385,499,0.77
338,UTEP (CUSA),32,14-18,385,505,0.76
339,UTSA (CUSA),32,10-22,334,439,0.76
340,Oregon St. (Pac-12),32,11-21,326,429,0.76
341,Denver (Summit League),32,15-17,363,479,0.76
342,Coppin St. (MEAC),32,9-23,360,477,0.75
343,Alabama St. (SWAC),31,8-23,309,414,0.75
344,Cal Poly (Big West),33,8-25,341,457,0.75
345,Illinois St. (MVC),32,11-21,345,466,0.74
346,California (Pac-12),32,3-29,308,417,0.74
347,IU Indy (Horizon),32,5-27,358,506,0.71
348,Kansas City (Summit League),32,11-21,300,432,0.69
349,Central Mich. (MAC),31,10-21,333,494,0.67
350,Louisville (ACC),32,4-28,299,478,0.63
351,Mississippi Val. (SWAC),32,5-27,321,518,0.62
352,Florida A&M (SWAC),29,7-22,280,464,0.60
