Rank,Team,GM,W-L,3FG PG
275,Little Rock (OVC),34,21-13,6.4
276,Northeastern (CAA),32,12-20,6.4
276,Northwestern St. (Southland),32,9-23,6.4
278,Norfolk St. (MEAC),35,24-11,6.4
278,Washington St. (Pac-12),35,25-10,6.4
280,Mercer (SoCon),33,16-17,6.4
280,Presbyterian (Big South),33,14-19,6.4
282,Bowling Green (MAC),34,20-14,6.4
282,Towson (CAA),34,20-14,6.4
284,Pacific (WCC),32,6-26,6.3
285,Northern Ky. (Horizon),33,18-15,6.3
286,Southern Utah (WAC),31,10-21,6.3
287,Chicago St. (DI Independent),32,13-19,6.3
287,Southern Miss. (Sun Belt),32,16-16,6.3
289,Northern Ariz. (Big Sky),33,14-19,6.3
290,Central Mich. (MAC),32,18-14,6.3
290,DePaul (Big East),32,3-29,6.3
290,South Carolina St. (MEAC),32,14-18,6.3
293,Omaha (Summit League),33,15-18,6.2
294,Niagara (MAAC),32,16-16,6.2
295,Southeast Mo. St. (OVC),31,9-22,6.2
296,Seton Hall (Big East),37,25-12,6.2
297,Cal Poly (Big West),32,4-28,6.2
298,The Citadel (SoCon),32,11-21,6.2
299,SFA (WAC),33,18-15,6.2
300,UAB (AAC),35,23-12,6.1
301,Oregon St. (Pac-12),32,13-19,6.1
302,Maryland (Big Ten),33,16-17,6.1
303,Illinois St. (MVC),32,15-17,6.1
304,Florida St. (ACC),33,17-16,6.1
305,UC Santa Barbara (Big West),31,16-15,6
306,Arkansas (SEC),33,16-17,6
307,N.C. A&T (CAA),32,7-25,6
308,Western Ill. (OVC),33,21-12,5.9
309,Florida A&M (SWAC),29,6-23,5.9
310,Bethune-Cookman (SWAC),34,17-17,5.9
311,Detroit Mercy (Horizon),32,1-31,5.8
312,Navy (Patriot),31,13-18,5.8
313,Saint Peter's (MAAC),33,19-14,5.8
314,UMass Lowell (America East),32,22-10,5.8
315,UC Irvine (Big West),34,24-10,5.8
316,UMES (MEAC),29,9-20,5.8
317,Longwood (Big South),35,21-14,5.7
318,Eastern Mich. (MAC),31,13-18,5.7
319,Kansas (Big 12),34,23-11,5.7
320,UTEP (CUSA),34,18-16,5.7
321,Rider (MAAC),32,15-17,5.7
322,Eastern Ill. (OVC),32,14-18,5.6
323,A&M-Corpus Christi (Southland),33,21-12,5.5
323,UCLA (Pac-12),33,16-17,5.5
325,Louisville (ACC),32,8-24,5.5
325,Rutgers (Big Ten),32,15-17,5.5
327,Binghamton (America East),30,15-15,5.5
328,New Orleans (Southland),33,10-23,5.4
329,LIU (NEC),29,7-22,5.4
330,Maine (America East),32,15-17,5.4
331,Long Beach St. (Big West),36,21-15,5.4
332,Jacksonville St. (CUSA),32,14-18,5.3
333,Abilene Christian (WAC),34,16-18,5.3
334,Siena (MAAC),32,4-28,5.3
335,Coppin St. (MEAC),29,2-27,5.3
336,Alcorn (SWAC),32,14-18,5.2
337,UTRGV (WAC),31,6-25,5.2
338,Grambling (SWAC),36,21-15,5.1
339,Houston Christian (Southland),29,6-23,5.1
340,ULM (Sun Belt),30,11-19,5.1
341,Indiana (Big Ten),33,19-14,5
342,CSUN (Big West),34,19-15,4.9
343,Utah Valley (WAC),32,16-16,4.8
344,Prairie View (SWAC),31,10-21,4.8
345,Morgan St. (MEAC),31,11-20,4.8
346,CSU Bakersfield (Big West),32,13-19,4.7
347,Delaware St. (MEAC),34,15-19,4.6
348,Mississippi Val. (SWAC),31,1-30,4.6
349,Texas St. (Sun Belt),35,17-18,4.5
350,Alabama A&M (SWAC),35,12-23,4.2
351,IU Indy (Horizon),32,6-26,3.4
