Rank,Team,GM,W-L,FT,FTA,FT%
217,South Dakota St. (Summit League),35,22-13,421,593,71
218,Temple (AAC),36,16-20,503,709,70.9
219,Georgia Tech (ACC),32,14-18,398,561,70.9
220,Vanderbilt (SEC),32,9-23,468,660,70.9
221,NJIT (America East),28,7-21,375,529,70.9
222,Central Conn. St. (NEC),31,20-11,409,577,70.9
223,Long Beach St. (Big West),36,21-15,606,855,70.9
224,Navy (Patriot),31,13-18,447,631,70.8
225,Pittsburgh (ACC),33,22-11,432,610,70.8
226,Cal St. Fullerton (Big West),32,14-18,485,685,70.8
227,Grambling (SWAC),36,21-15,531,750,70.8
228,Michigan St. (Big Ten),35,20-15,426,602,70.8
229,Florida St. (ACC),33,17-16,520,735,70.7
229,Elon (CAA),32,13-19,416,588,70.7
231,New Mexico (Mountain West),36,26-10,549,776,70.7
232,UNI (MVC),33,19-14,493,697,70.7
233,Yale (Ivy League),33,23-10,386,546,70.7
234,Texas A&M (SEC),36,21-15,629,890,70.7
235,Delaware (CAA),33,19-14,407,576,70.7
236,Miami (OH) (MAC),32,15-17,404,572,70.6
237,Delaware St. (MEAC),34,15-19,541,766,70.6
238,Morehead St. (OVC),35,26-9,418,592,70.6
239,SFA (WAC),33,18-15,562,796,70.6
240,The Citadel (SoCon),32,11-21,425,602,70.6
241,Austin Peay (ASUN),35,19-16,460,652,70.6
242,West Virginia (Big 12),32,9-23,467,662,70.5
243,Jacksonville (ASUN),33,16-17,485,688,70.5
244,Cal Poly (Big West),32,4-28,401,569,70.5
245,UTRGV (WAC),31,6-25,513,728,70.5
246,Washington St. (Pac-12),35,25-10,455,646,70.4
247,Pepperdine (WCC),33,13-20,442,628,70.4
248,Middle Tenn. (CUSA),33,14-19,444,631,70.4
249,Wagner (NEC),33,17-16,349,496,70.4
250,Jackson St. (SWAC),32,15-17,470,668,70.4
251,Purdue Fort Wayne (Horizon),36,23-13,460,654,70.3
252,A&M-Corpus Christi (Southland),33,21-12,519,738,70.3
253,Marquette (Big East),37,27-10,405,576,70.3
254,James Madison (Sun Belt),36,32-4,542,771,70.3
255,Michigan (Big Ten),32,8-24,421,599,70.3
256,San Jose St. (Mountain West),32,9-23,297,423,70.2
257,Winthrop (Big South),32,17-15,601,856,70.2
258,Harvard (Ivy League),27,14-13,370,527,70.2
259,Jacksonville St. (CUSA),32,14-18,464,661,70.2
260,Iowa St. (Big 12),37,29-8,537,765,70.2
261,Arkansas St. (Sun Belt),37,20-17,534,761,70.2
262,William & Mary (CAA),33,10-23,435,620,70.2
263,UCF (Big 12),33,17-16,507,723,70.1
264,Louisiana Tech (CUSA),32,22-10,517,738,70.1
265,Florida A&M (SWAC),29,6-23,325,464,70
266,FDU (NEC),32,15-17,476,680,70
267,Southern Miss. (Sun Belt),32,16-16,485,693,70
268,Southeast Mo. St. (OVC),31,9-22,358,512,69.9
269,Massachusetts (Atlantic 10),31,20-11,476,681,69.9
270,UMBC (America East),32,11-21,352,504,69.8
271,Wichita St. (AAC),34,15-19,385,552,69.7
272,Oklahoma St. (Big 12),32,12-20,426,611,69.7
273,Marist (MAAC),31,18-13,340,488,69.7
274,Murray St. (MVC),32,12-20,381,547,69.7
275,Northern Ariz. (Big Sky),33,14-19,408,586,69.6
276,Texas St. (Sun Belt),35,17-18,520,747,69.6
277,FGCU (ASUN),32,14-18,349,502,69.5
278,Rice (AAC),32,11-21,387,557,69.5
279,N.C. Central (MEAC),31,18-13,496,714,69.5
280,Sacred Heart (NEC),32,16-16,407,586,69.5
281,Southern California (Pac-12),33,15-18,450,649,69.3
282,McNeese (Southland),34,30-4,516,745,69.3
283,VMI (SoCon),32,4-28,358,517,69.2
