Rank,Team,GM,W-L,PTS,PPG
220,Binghamton (America East),30,15-15,"2,163",72.1
221,South Carolina (SEC),34,26-8,"2,450",72.1
222,Radford (Big South),33,16-17,"2,377",72
223,Louisville (ACC),32,8-24,"2,304",72
223,Rice (AAC),32,11-21,"2,304",72
225,Portland St. (Big Sky),32,17-15,"2,302",71.9
226,Richmond (Atlantic 10),33,23-10,"2,372",71.9
227,Alcorn (SWAC),32,14-18,"2,300",71.9
227,Kansas City (Summit League),32,16-16,"2,300",71.9
229,Hampton (CAA),33,9-24,"2,369",71.8
229,Jacksonville (ASUN),33,16-17,"2,369",71.8
231,UCF (Big 12),33,17-16,"2,366",71.7
232,Vermont (America East),35,28-7,"2,506",71.6
233,Houston Christian (Southland),29,6-23,"2,074",71.5
234,Portland (WCC),33,12-21,"2,360",71.5
234,SIUE (OVC),33,17-16,"2,360",71.5
236,ETSU (SoCon),35,19-16,"2,502",71.5
237,Colgate (Patriot),35,25-10,"2,498",71.4
238,Brown (Ivy League),31,13-18,"2,212",71.4
239,Iona (MAAC),33,16-17,"2,354",71.3
240,Western Mich. (MAC),32,12-20,"2,281",71.3
241,Missouri St. (MVC),33,17-16,"2,351",71.2
241,UC Davis (Big West),33,20-13,"2,351",71.2
243,Jackson St. (SWAC),32,15-17,"2,279",71.2
244,Mercer (SoCon),33,16-17,"2,348",71.2
245,Southern U. (SWAC),32,18-14,"2,275",71.1
246,George Mason (Atlantic 10),32,20-12,"2,273",71
247,Campbell (CAA),32,14-18,"2,272",71
247,Georgia Tech (ACC),32,14-18,"2,272",71
247,Oklahoma St. (Big 12),32,12-20,"2,272",71
247,USC Upstate (Big South),30,10-20,"2,130",71
251,VCU (Atlantic 10),38,24-14,"2,697",71
252,Evansville (MVC),35,17-18,"2,481",70.9
253,Old Dominion (Sun Belt),32,7-25,"2,268",70.9
254,Temple (AAC),36,16-20,"2,551",70.9
255,Georgetown (Big East),32,9-23,"2,267",70.8
256,UC Riverside (Big West),34,16-18,"2,404",70.7
257,The Citadel (SoCon),32,11-21,"2,260",70.6
258,Delaware St. (MEAC),34,15-19,"2,401",70.6
259,Miami (OH) (MAC),32,15-17,"2,259",70.6
260,Duquesne (Atlantic 10),37,25-12,"2,611",70.6
261,Northwestern St. (Southland),32,9-23,"2,257",70.5
262,Idaho St. (Big Sky),34,14-20,"2,397",70.5
263,Fordham (Atlantic 10),33,13-20,"2,325",70.5
264,FGCU (ASUN),32,14-18,"2,253",70.4
265,Canisius (MAAC),32,14-18,"2,252",70.4
