Rank,Team,GM,REB,RPG
292,Syracuse (ACC),32,"1,064",33.25
292,Valparaiso (MVC),32,"1,064",33.25
297,Tulane (AAC),31,"1,030",33.23
298,Miami (OH) (MAC),32,"1,063",33.22
299,Northeastern (CAA),32,"1,062",33.19
300,Green Bay (Horizon),32,"1,061",33.16
301,UTEP (CUSA),34,"1,124",33.06
302,South Alabama (Sun Belt),32,"1,057",33.03
303,Southern Ill. (MVC),32,"1,055",32.97
304,Oral Roberts (Summit League),31,"1,022",32.97
305,Manhattan (MAAC),30,989,32.97
306,St. Bonaventure (Atlantic 10),33,"1,087",32.94
307,Hofstra (CAA),33,"1,081",32.76
307,Richmond (Atlantic 10),33,"1,081",32.76
309,Marquette (Big East),37,"1,212",32.76
310,Cal St. Fullerton (Big West),32,"1,048",32.75
310,Murray St. (MVC),32,"1,048",32.75
312,Holy Cross (Patriot),33,"1,079",32.70
313,Maine (America East),32,"1,044",32.63
314,American (Patriot),32,"1,043",32.59
315,Purdue Fort Wayne (Horizon),36,"1,173",32.58
316,Virginia (ACC),34,"1,107",32.56
317,Oregon St. (Pac-12),32,"1,041",32.53
318,Bucknell (Patriot),33,"1,073",32.52
319,Campbell (CAA),32,"1,040",32.50
320,Charlotte (AAC),31,"1,006",32.45
321,Virginia Tech (ACC),34,"1,101",32.38
322,Penn St. (Big Ten),33,"1,065",32.27
323,Grambling (SWAC),36,"1,158",32.17
324,Idaho St. (Big Sky),34,"1,093",32.15
325,Marist (MAAC),31,996,32.13
326,Weber St. (Big Sky),32,"1,025",32.03
327,N.C. A&T (CAA),32,"1,020",31.88
327,Southern U. (SWAC),32,"1,020",31.88
329,Iona (MAAC),33,"1,051",31.85
330,Southeast Mo. St. (OVC),31,984,31.74
331,USC Upstate (Big South),30,950,31.67
332,FIU (CUSA),33,"1,044",31.64
333,Fresno St. (Mountain West),33,"1,043",31.61
334,Idaho (Big Sky),32,"1,010",31.56
335,Northwestern (Big Ten),34,"1,068",31.41
336,Merrimack (NEC),33,"1,034",31.33
336,Northern Ariz. (Big Sky),33,"1,034",31.33
338,Cal Poly (Big West),32,"1,000",31.25
339,Missouri (SEC),32,992,31.00
340,Tennessee Tech (OVC),31,957,30.87
341,San Jose St. (Mountain West),32,986,30.81
342,Prairie View (SWAC),31,952,30.71
343,Montana St. (Big Sky),35,"1,068",30.51
344,Niagara (MAAC),32,975,30.47
345,Coppin St. (MEAC),29,873,30.10
346,DePaul (Big East),32,951,29.72
347,Detroit Mercy (Horizon),32,945,29.53
348,IU Indy (Horizon),32,944,29.50
349,Mississippi Val. (SWAC),31,911,29.39
350,Air Force (Mountain West),31,872,28.13
351,Pacific (WCC),32,875,27.34
