Rank,Team,GM,W-L,DRebs,DRPG
224,West Virginia (Big 12),32,9-23,787,24.59
226,UC Riverside (Big West),34,16-18,836,24.59
227,ULM (Sun Belt),30,11-19,737,24.57
228,Morgan St. (MEAC),31,11-20,761,24.55
229,Lafayette (Patriot),32,11-21,785,24.53
229,Southern Ill. (MVC),32,19-13,785,24.53
231,Oklahoma St. (Big 12),32,12-20,784,24.50
232,Buffalo (MAC),31,4-27,759,24.48
233,Oregon (Pac-12),36,24-12,881,24.47
234,Eastern Ill. (OVC),32,14-18,782,24.44
234,FGCU (ASUN),32,14-18,782,24.44
234,Louisville (ACC),32,8-24,782,24.44
237,Texas St. (Sun Belt),35,17-18,855,24.43
238,Holy Cross (Patriot),33,10-23,806,24.42
238,La Salle (Atlantic 10),33,16-17,806,24.42
240,TCU (Big 12),34,21-13,830,24.41
241,Alabama A&M (SWAC),35,12-23,854,24.40
242,Army West Point (Patriot),32,10-22,780,24.38
