Rank,Team,GM,W-L,SCR MAR
322,Eastern Mich. (MAC),31,13-18,-6.6
323,Alabama A&M (SWAC),35,12-23,-6.8
324,Georgetown (Big East),32,9-23,-7
324,West Virginia (Big 12),32,9-23,-7
326,Louisville (ACC),32,8-24,-7.1
327,NJIT (America East),28,7-21,-7.1
328,Saint Francis (PA) (NEC),30,8-22,-7.5
329,Loyola Maryland (Patriot),32,7-25,-7.9
330,Valparaiso (MVC),32,7-25,-7.9
331,Portland (WCC),33,12-21,-7.9
332,Vanderbilt (SEC),32,9-23,-8
333,Northern Ariz. (Big Sky),33,14-19,-8
334,Holy Cross (Patriot),33,10-23,-8.1
335,UTRGV (WAC),31,6-25,-9.4
336,Manhattan (MAAC),30,7-23,-9.7
337,Dartmouth (Ivy League),27,6-21,-10
338,Florida A&M (SWAC),29,6-23,-10
339,LIU (NEC),29,7-22,-10.3
340,Cal Poly (Big West),32,4-28,-10.4
341,Buffalo (MAC),31,4-27,-11.7
342,Houston Christian (Southland),29,6-23,-11.9
343,N.C. A&T (CAA),32,7-25,-12.4
344,VMI (SoCon),32,4-28,-13.8
345,IU Indy (Horizon),32,6-26,-13.9
346,Siena (MAAC),32,4-28,-14
347,Detroit Mercy (Horizon),32,1-31,-14.3
348,Coppin St. (MEAC),29,2-27,-15
349,Pacific (WCC),32,6-26,-15.1
350,DePaul (Big East),32,3-29,-17
351,Mississippi Val. (SWAC),31,1-30,-22.3
