Rank,Team,GM,W-L,ORebs,ORPG
283,USC Upstate (Big South),30,10-20,262,8.73
284,Lafayette (Patriot),32,11-21,279,8.72
284,Liberty (CUSA),32,18-14,279,8.72
286,Tulsa (AAC),31,16-15,270,8.71
287,Marquette (Big East),37,27-10,322,8.70
288,Saint Louis (Atlantic 10),33,13-20,287,8.70
289,Syracuse (ACC),32,20-12,277,8.66
290,Oregon St. (Pac-12),32,13-19,275,8.59
291,Omaha (Summit League),33,15-18,282,8.55
292,Northwestern (Big Ten),34,22-12,290,8.53
293,Arkansas (SEC),33,16-17,281,8.52
294,Villanova (Big East),34,18-16,288,8.47
295,North Dakota St. (Summit League),32,15-17,271,8.47
296,Wake Forest (ACC),35,21-14,296,8.46
297,Hawaii (Big West),34,20-14,287,8.44
298,Southern Ill. (MVC),32,19-13,270,8.44
299,Ark.-Pine Bluff (SWAC),31,13-18,261,8.42
300,Princeton (Ivy League),29,24-5,244,8.41
301,Arizona St. (Pac-12),32,14-18,269,8.41
301,Cal St. Fullerton (Big West),32,14-18,269,8.41
303,Creighton (Big East),35,25-10,294,8.40
304,Purdue Fort Wayne (Horizon),36,23-13,302,8.39
305,Charlotte (AAC),31,19-12,260,8.39
306,Bucknell (Patriot),33,14-19,276,8.36
306,Portland (WCC),33,12-21,276,8.36
308,Montana (Big Sky),36,24-12,299,8.31
309,Northern Ariz. (Big Sky),33,14-19,274,8.30
310,Holy Cross (Patriot),33,10-23,273,8.27
311,South Dakota St. (Summit League),35,22-13,289,8.26
312,Kansas (Big 12),34,23-11,280,8.24
313,Lehigh (Patriot),32,14-18,263,8.22
314,UIC (MVC),33,12-21,271,8.21
315,Northern Colo. (Big Sky),33,19-14,270,8.18
316,Colgate (Patriot),35,25-10,286,8.17
317,UC Santa Barbara (Big West),31,16-15,252,8.13
318,Eastern Wash. (Big Sky),32,21-11,258,8.06
319,Miami (OH) (MAC),32,15-17,257,8.03
320,Dayton (Atlantic 10),33,25-8,265,8.03
320,UNI (MVC),33,19-14,265,8.03
322,Maine (America East),32,15-17,255,7.97
323,Drake (MVC),35,28-7,278,7.94
324,Idaho (Big Sky),32,11-21,254,7.94
324,South Alabama (Sun Belt),32,16-16,254,7.94
326,Fresno St. (Mountain West),33,12-21,260,7.88
326,Merrimack (NEC),33,21-12,260,7.88
328,San Jose St. (Mountain West),32,9-23,252,7.88
329,Colorado St. (Mountain West),36,25-11,283,7.86
330,Bryant (America East),33,20-13,259,7.85
331,Stanford (Pac-12),32,14-18,248,7.75
331,Weber St. (Big Sky),32,20-12,248,7.75
333,Virginia Tech (ACC),34,19-15,263,7.74
334,Evansville (MVC),35,17-18,270,7.71
335,Hofstra (CAA),33,20-13,254,7.70
336,Campbell (CAA),32,14-18,246,7.69
337,Vermont (America East),35,28-7,268,7.66
338,Lipscomb (ASUN),32,20-12,244,7.63
339,Oral Roberts (Summit League),31,12-19,235,7.58
340,Dartmouth (Ivy League),27,6-21,200,7.41
341,Niagara (MAAC),32,16-16,235,7.34
342,DePaul (Big East),32,3-29,233,7.28
343,Air Force (Mountain West),31,9-22,225,7.26
344,Belmont (MVC),33,20-13,237,7.18
345,Marist (MAAC),31,18-13,222,7.16
346,Indiana St. (MVC),39,32-7,279,7.15
347,Tulane (AAC),31,14-17,217,7.00
348,Montana St. (Big Sky),35,17-18,237,6.77
349,Pacific (WCC),32,6-26,209,6.53
350,Tennessee Tech (OVC),31,10-21,191,6.16
351,Richmond (Atlantic 10),33,23-10,188,5.70
