Rank,Team,GM,W-L,3FG,3FGA,3FGA PG
301,Coppin St. (MEAC),29,2-27,153,540,18.6
302,TCU (Big 12),34,21-13,224,632,18.6
303,Iowa St. (Big 12),37,29-8,246,687,18.6
304,Western Ill. (OVC),33,21-12,195,611,18.5
305,Little Rock (OVC),34,21-13,217,629,18.5
306,Mercer (SoCon),33,16-17,210,608,18.4
307,Seton Hall (Big East),37,25-12,229,681,18.4
308,SFA (WAC),33,18-15,203,607,18.4
309,Nevada (Mountain West),34,26-8,227,625,18.4
310,Maine (America East),32,15-17,173,587,18.3
311,Bethune-Cookman (SWAC),34,17-17,199,620,18.2
312,Virginia (ACC),34,23-11,220,615,18.1
313,UTEP (CUSA),34,18-16,194,609,17.9
314,Michigan St. (Big Ten),35,20-15,227,626,17.9
315,Saint Peter's (MAAC),33,19-14,192,590,17.9
316,Binghamton (America East),30,15-15,164,536,17.9
317,New Orleans (Southland),33,10-23,179,589,17.8
318,Louisville (ACC),32,8-24,175,571,17.8
319,Wright St. (Horizon),32,18-14,218,569,17.8
320,Long Beach St. (Big West),36,21-15,194,637,17.7
321,UMass Lowell (America East),32,22-10,186,566,17.7
322,UTRGV (WAC),31,6-25,160,547,17.6
323,Colorado (Pac-12),37,26-11,254,649,17.5
324,Eastern Ill. (OVC),32,14-18,179,560,17.5
325,LIU (NEC),29,7-22,157,506,17.4
326,Kansas (Big 12),34,23-11,195,587,17.3
327,Niagara (MAAC),32,16-16,199,550,17.2
327,Toledo (MAC),32,20-12,207,550,17.2
329,ULM (Sun Belt),30,11-19,152,513,17.1
330,Florida A&M (SWAC),29,6-23,170,495,17.1
331,Rider (MAAC),32,15-17,182,540,16.9
331,Utah Valley (WAC),32,16-16,154,540,16.9
333,Longwood (Big South),35,21-14,201,590,16.9
334,Houston Christian (Southland),29,6-23,147,488,16.8
335,UC Santa Barbara (Big West),31,16-15,187,519,16.7
336,UCLA (Pac-12),33,16-17,183,552,16.7
337,UC Irvine (Big West),34,24-10,197,565,16.6
338,Morgan St. (MEAC),31,11-20,148,505,16.3
339,Jacksonville St. (CUSA),32,14-18,170,507,15.8
340,CSUN (Big West),34,19-15,165,537,15.8
341,Mississippi Val. (SWAC),31,1-30,143,489,15.8
341,Prairie View (SWAC),31,10-21,149,489,15.8
343,Abilene Christian (WAC),34,16-18,180,530,15.6
344,Indiana (Big Ten),33,19-14,166,513,15.5
345,Alcorn (SWAC),32,14-18,166,492,15.4
346,Grambling (SWAC),36,21-15,185,547,15.2
347,CSU Bakersfield (Big West),32,13-19,150,476,14.9
348,Alabama A&M (SWAC),35,12-23,148,516,14.7
349,Delaware St. (MEAC),34,15-19,158,494,14.5
350,Texas St. (Sun Belt),35,17-18,159,488,13.9
351,IU Indy (Horizon),32,6-26,110,444,13.9
