Team,Seed,3FG,3FGA,3FGA PG,Fouls,PFPG,DQ,REB,RPG,FT,FTA,FT%,ORebs,ORPG,3FG PG,W,L,Win%,OPP REB,OPP RPG,REB MAR,OPP PTS,OPP PPG,SCR MAR,DRebs,DRPG,Opp TO,TO PG,AST,TO,Ratio,3FG%,FGM,FGA,FG%,FT PG,OPP FG,OPP FGA,OPP FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,PTS,PPG,FTA PG
CSU Bakersfield (Big West),,150,476,14.9,652,20.4,13,"1,109",34.66,435,602,72.3,382,11.94,4.7,13,19,40.6,"1,070",33.4,1.2,"2,214",69.2,-0.5,727,22.72,422,13.19,335,389,0.86,31.5,807,"1,861",43.4,13.6,722,"1,675",43.1,612,208,34.0,"2,199",68.7,18.8
CSUN (Big West),,165,537,15.8,707,20.8,32,"1,362",40.06,506,757,66.8,402,11.82,4.9,19,15,55.9,"1,187",34.9,5.1,"2,503",73.6,1.4,960,28.24,455,13.38,472,481,0.98,30.7,940,"2,065",45.5,14.9,825,"2,037",40.5,908,294,32.4,"2,551",75.0,22.3
Cal Poly (Big West),,198,598,18.7,614,19.2,17,"1,000",31.25,401,569,70.5,283,8.84,6.2,4,28,12.5,"1,232",38.5,-7.3,"2,371",74.1,-10.4,717,22.41,380,11.88,314,405,0.78,33.1,719,"1,778",40.4,12.5,817,"1,778",46.0,543,191,35.2,"2,037",63.7,17.8
Cal St. Fullerton (Big West),,207,627,19.6,571,17.8,7,"1,048",32.75,485,685,70.8,269,8.41,6.5,14,18,43.8,"1,137",35.5,-2.8,"2,212",69.1,-1.3,779,24.34,402,12.56,284,393,0.72,33.0,740,"1,717",43.1,15.2,773,"1,790",43.2,687,218,31.7,"2,172",67.9,21.4
California (Pac-12),,281,831,26.0,552,17.3,15,"1,189",37.16,420,578,72.7,343,10.72,8.8,13,19,40.6,"1,164",36.4,0.8,"2,465",77.0,-3.1,846,26.44,336,10.5,387,370,1.05,33.8,833,"1,980",42.1,13.1,873,"1,949",44.8,706,252,35.7,"2,367",74.0,18.1
California Baptist (WAC),,220,674,20.4,524,15.9,12,"1,241",37.61,478,700,68.3,397,12.03,6.7,16,17,48.5,"1,074",32.5,5.1,"2,197",66.6,0.8,844,25.58,336,10.18,372,392,0.95,32.6,762,"1,857",41.0,14.5,816,"1,855",44.0,507,171,33.7,"2,222",67.3,21.2
Campbell (CAA),,232,673,21.0,485,15.2,2,"1,040",32.5,428,590,72.5,246,7.69,7.3,14,18,43.8,"1,112",34.8,-2.3,"2,307",72.1,-1.1,794,24.81,379,11.84,425,383,1.11,34.5,806,"1,740",46.3,13.4,849,"1,928",44.0,825,275,33.3,"2,272",71.0,18.4
Canisius (MAAC),,232,690,21.6,520,16.3,7,"1,181",36.91,338,541,62.5,384,12.0,7.3,14,18,43.8,"1,083",33.8,3.1,"2,307",72.1,-1.7,797,24.91,361,11.28,401,432,0.93,33.6,841,"1,910",44.0,10.6,864,"1,913",45.2,601,204,33.9,"2,252",70.4,16.9
Central Ark. (ASUN),,256,747,23.3,548,17.1,10,"1,165",36.41,419,566,74.0,359,11.22,8.0,9,23,28.1,"1,191",37.2,-0.8,"2,502",78.2,-6.0,806,25.19,367,11.47,437,407,1.07,34.3,817,"1,965",41.6,13.1,869,"1,933",45.0,812,302,37.2,"2,309",72.2,17.7
Central Conn. St. (NEC),,208,645,20.8,423,13.6,2,"1,111",35.84,409,577,70.9,298,9.61,6.7,20,11,64.5,"1,051",33.9,1.9,"2,061",66.5,5.7,813,26.23,396,12.77,444,349,1.27,32.2,810,"1,798",45.1,13.2,764,"1,809",42.2,634,215,33.9,"2,237",72.2,18.6
Central Mich. (MAC),,200,660,20.6,527,16.5,11,"1,162",36.31,347,526,66.0,339,10.59,6.3,18,14,56.3,"1,206",37.7,-1.4,"2,242",70.1,-3.6,823,25.72,359,11.22,364,384,0.95,30.3,790,"1,880",42.0,10.8,784,"1,916",40.9,780,244,31.3,"2,127",66.5,16.4
Charleston So. (Big South),,208,629,21.0,512,17.1,7,"1,066",35.53,390,530,73.6,301,10.03,6.9,10,20,33.3,"1,085",36.2,-0.6,"2,210",73.7,-6.1,765,25.5,285,9.5,306,366,0.84,33.1,715,"1,727",41.4,13.0,809,"1,795",45.1,563,175,31.1,"2,028",67.6,17.7
Charlotte (AAC),,201,635,20.5,479,15.5,6,"1,006",32.45,434,576,75.3,260,8.39,6.5,19,12,61.3,"1,020",32.9,-0.5,"2,034",65.6,3.1,746,24.06,311,10.03,407,301,1.35,31.7,748,"1,655",45.2,14.0,731,"1,714",42.6,628,198,31.5,"2,131",68.7,18.6
Chattanooga (SoCon),,349,971,29.4,524,15.9,7,"1,206",36.55,448,601,74.5,305,9.24,10.6,21,12,63.6,"1,132",34.3,2.2,"2,362",71.6,6.6,901,27.3,343,10.39,447,393,1.14,35.9,892,"1,915",46.6,13.6,851,"2,039",41.7,860,292,34.0,"2,581",78.2,18.2
Chicago St. (DI Independent),,201,641,20.0,559,17.5,14,"1,074",33.56,481,676,71.2,389,12.16,6.3,13,19,40.6,"1,110",34.7,-1.1,"2,258",70.6,-1.1,685,21.41,462,14.44,354,422,0.84,31.4,771,"1,816",42.5,15.0,827,"1,789",46.2,618,200,32.4,"2,224",69.5,21.1
