Team,Seed,3FG,3FGA,3FGA PG,Fouls,PFPG,DQ,REB,RPG,FT,FTA,FT%,ORebs,ORPG,3FG PG,W,L,Win%,OPP REB,OPP RPG,REB MAR,OPP PTS,OPP PPG,SCR MAR,DRebs,DRPG,Opp TO,TO PG,AST,TO,Ratio,3FG%,FGM,FGA,FG%,FT PG,OPP FG,OPP FGA,OPP FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,PTS,PPG,FTA PG
Michigan St. (Big Ten),9,227,626,17.9,581,16.6,6,"1,215",34.71,426,602,70.8,353,10.09,6.5,20,15,57.1,"1,176",33.6,1.1,"2,312",66.1,6.8,862,24.63,432,12.34,558,350,1.59,36.3,949,"2,058",46.1,12.2,800,"1,938",41.3,806,263,32.6,"2,551",72.9,17.2
Middle Tenn. (CUSA),,241,774,23.5,516,15.6,13,"1,147",34.76,444,631,70.4,344,10.42,7.3,14,19,42.4,"1,194",36.2,-1.4,"2,319",70.3,-4.6,803,24.33,367,11.12,329,462,0.71,31.1,741,"1,843",40.2,13.5,854,"1,945",43.9,589,194,32.9,"2,167",65.7,19.1
Milwaukee (Horizon),,277,861,24.6,635,18.1,12,"1,364",38.97,545,750,72.7,473,13.51,7.9,20,15,57.1,"1,258",35.9,3.0,"2,753",78.7,0.8,891,25.46,404,11.54,498,439,1.13,32.2,980,"2,198",44.6,15.6,962,"2,194",43.8,836,288,34.4,"2,782",79.5,21.4
Minnesota (Big Ten),,268,754,22.2,547,16.1,9,"1,187",34.91,462,670,69.0,343,10.09,7.9,19,15,55.9,"1,116",32.8,2.1,"2,444",71.9,3.1,844,24.82,371,10.91,588,408,1.44,35.5,910,"1,930",47.2,13.6,898,"1,999",44.9,609,219,36.0,"2,550",75.0,19.7
Mississippi St. (SEC),8,251,781,22.3,580,16.6,8,"1,333",38.09,508,758,67.0,436,12.46,7.2,21,14,60.0,"1,140",32.6,5.5,"2,417",69.1,5.0,897,25.63,443,12.66,491,455,1.08,32.1,917,"2,027",45.2,14.5,844,"2,016",41.9,830,247,29.8,"2,593",74.1,21.7
Mississippi Val. (SWAC),,143,489,15.8,550,17.7,11,911,29.39,350,532,65.8,298,9.61,4.6,1,30,3.2,"1,111",35.8,-6.5,"2,409",77.7,-22.3,613,19.77,354,11.42,271,495,0.55,29.2,613,"1,611",38.1,11.3,835,"1,711",48.8,624,231,37.0,"1,719",55.5,17.2
Missouri (SEC),,233,730,22.8,642,20.1,14,992,31.0,462,583,79.2,293,9.16,7.3,8,24,25.0,"1,188",37.1,-6.1,"2,438",76.2,-4.0,699,21.84,409,12.78,390,370,1.05,31.9,807,"1,838",43.9,14.4,809,"1,818",44.5,724,249,34.4,"2,309",72.2,18.2
Missouri St. (MVC),,223,711,21.5,504,15.3,4,"1,291",39.12,432,608,71.1,335,10.15,6.8,17,16,51.5,"1,131",34.3,4.8,"2,352",71.3,0.0,956,28.97,301,9.12,399,397,1.01,31.4,848,"1,931",43.9,13.1,859,"2,067",41.6,802,265,33.0,"2,351",71.2,18.4
Monmouth (CAA),,252,726,22.0,559,16.9,9,"1,167",35.36,418,585,71.5,370,11.21,7.6,18,15,54.5,"1,219",36.9,-1.6,"2,396",72.6,-0.2,797,24.15,400,12.12,432,345,1.25,34.7,860,"1,998",43.0,12.7,819,"1,919",42.7,829,282,34.0,"2,390",72.4,17.7
Montana (Big Sky),,277,774,21.5,600,16.7,6,"1,227",34.08,477,602,79.2,299,8.31,7.7,24,12,66.7,"1,173",32.6,1.5,"2,586",71.8,5.1,928,25.78,349,9.69,537,371,1.45,35.8,"1,007","2,075",48.5,13.3,926,"2,085",44.4,673,225,33.4,"2,768",76.9,16.7
Montana St. (Big Sky),16,319,863,24.7,647,18.5,21,"1,068",30.51,434,596,72.8,237,6.77,9.1,17,18,48.6,"1,233",35.2,-4.7,"2,606",74.5,0.8,831,23.74,474,13.54,463,408,1.13,37.0,941,"2,012",46.8,12.4,933,"2,000",46.7,681,228,33.5,"2,635",75.3,17.0
Morehead St. (OVC),14,329,912,26.1,553,15.8,8,"1,372",39.2,418,592,70.6,407,11.63,9.4,26,9,74.3,"1,073",30.7,8.5,"2,220",63.4,11.9,965,27.57,367,10.49,526,413,1.27,36.1,944,"2,021",46.7,11.9,789,"2,006",39.3,665,201,30.2,"2,635",75.3,16.9
Morgan St. (MEAC),,148,505,16.3,594,19.2,14,"1,099",35.45,425,561,75.8,338,10.9,4.8,11,20,35.5,"1,159",37.4,-1.9,"2,402",77.5,-4.8,761,24.55,401,12.94,388,451,0.86,29.3,840,"1,862",45.1,13.7,846,"1,902",44.5,612,210,34.3,"2,253",72.7,18.1
St. Mary's (MAAC),5,217,615,19.2,496,15.5,11,"1,125",35.16,358,494,72.5,312,9.75,6.8,13,19,40.6,"1,037",32.4,2.8,"2,298",71.8,0.9,813,25.41,403,12.59,423,465,0.91,35.3,876,"1,852",47.3,11.2,819,"1,890",43.3,657,227,34.6,"2,327",72.7,15.4
Murray St. (MVC),,209,651,20.3,490,15.3,7,"1,048",32.75,381,547,69.7,299,9.34,6.5,12,20,37.5,"1,063",33.2,-0.5,"2,237",69.9,-0.2,749,23.41,379,11.84,369,304,1.21,32.1,821,"1,841",44.6,11.9,811,"1,750",46.3,743,273,36.7,"2,232",69.8,17.1
N.C. A&T (CAA),,192,669,20.9,488,15.3,5,"1,020",31.88,454,637,71.3,300,9.38,6.0,7,25,21.9,"1,306",40.8,-8.9,"2,494",77.9,-12.4,720,22.5,347,10.84,326,300,1.09,28.7,726,"1,873",38.8,14.2,926,"1,931",48.0,719,253,35.2,"2,098",65.6,19.9
N.C. Central (MEAC),,233,681,22.0,552,17.8,13,"1,097",35.39,496,714,69.5,349,11.26,7.5,18,13,58.1,"1,096",35.4,0.0,"2,139",69.0,7.6,748,24.13,432,13.94,398,372,1.07,34.2,823,"1,812",45.4,16.0,747,"1,773",42.1,644,181,28.1,"2,375",76.6,23.0
NC State (ACC),11,285,827,20.2,664,16.2,13,"1,447",35.29,582,794,73.3,415,10.12,7.0,26,15,63.4,"1,484",36.2,-0.9,"2,942",71.8,3.9,"1,032",25.17,501,12.22,536,392,1.37,34.5,"1,117","2,483",45.0,14.2,"1,043","2,408",43.3,887,297,33.5,"3,101",75.6,19.4
NIU (MAC),,227,696,22.5,539,17.4,19,"1,111",35.84,442,658,67.2,320,10.32,7.3,11,20,35.5,"1,141",36.8,-1.0,"2,399",77.4,-4.2,791,25.52,338,10.9,317,394,0.8,32.6,800,"1,802",44.4,14.3,853,"1,898",44.9,681,247,36.3,"2,269",73.2,21.2
NJIT (America East),,201,666,23.8,535,19.1,12,972,34.71,375,529,70.9,321,11.46,7.2,7,21,25.0,"1,059",37.8,-3.1,"2,101",75.0,-7.1,651,23.25,331,11.82,294,311,0.95,30.2,663,"1,681",39.4,13.4,735,"1,598",46.0,568,198,34.9,"1,902",67.9,18.9
Navy (Patriot),,181,603,19.5,559,18.0,11,"1,104",35.61,447,631,70.8,386,12.45,5.8,13,18,41.9,"1,116",36.0,-0.4,"2,067",66.7,-0.2,718,23.16,420,13.55,376,317,1.19,30.0,716,"1,809",39.6,14.4,715,"1,660",43.1,683,221,32.4,"2,060",66.5,20.4
Nebraska (Big Ten),8,319,893,26.3,539,15.9,7,"1,280",37.65,500,658,76.0,326,9.59,9.4,23,11,67.6,"1,268",37.3,0.4,"2,411",70.9,6.8,954,28.06,387,11.38,521,377,1.38,35.7,912,"2,017",45.2,14.7,854,"2,136",40.0,885,288,32.5,"2,643",77.7,19.4
Nevada (Mountain West),10,227,625,18.4,599,17.6,9,"1,167",34.32,593,824,72.0,302,8.88,6.7,26,8,76.5,"1,110",32.6,1.7,"2,276",66.9,9.0,865,25.44,405,11.91,511,342,1.49,36.3,881,"1,860",47.4,17.4,789,"1,886",41.8,783,251,32.1,"2,582",75.9,24.2
New Hampshire (America East),,275,848,27.4,472,15.2,5,"1,160",37.42,421,565,74.5,285,9.19,8.9,16,15,51.6,"1,205",38.9,-1.5,"2,297",74.1,0.0,875,28.23,380,12.26,365,372,0.98,32.4,801,"1,934",41.4,13.6,843,"1,930",43.7,748,223,29.8,"2,298",74.1,18.2
New Mexico (Mountain West),11,233,711,19.8,632,17.6,5,"1,429",39.69,549,776,70.7,462,12.83,6.5,26,10,72.2,"1,276",35.4,4.3,"2,545",70.7,10.3,967,26.86,504,14.0,524,361,1.45,32.8,"1,067","2,343",45.5,15.3,896,"2,122",42.2,771,234,30.4,"2,916",81.0,21.6
New Mexico St. (CUSA),,206,626,19.6,636,19.9,29,"1,079",33.72,418,617,67.7,286,8.94,6.4,13,19,40.6,"1,128",35.3,-1.5,"2,318",72.4,-4.8,793,24.78,373,11.66,359,382,0.94,32.9,771,"1,822",42.3,13.1,762,"1,812",42.1,766,261,34.1,"2,166",67.7,19.3
New Orleans (Southland),,179,589,17.8,629,19.1,11,"1,139",34.52,556,772,72.0,377,11.42,5.4,10,23,30.3,"1,314",39.8,-5.3,"2,622",79.5,-5.9,762,23.09,483,14.64,391,407,0.96,30.4,846,"2,023",41.8,16.8,937,"1,997",46.9,631,214,33.9,"2,427",73.5,23.4
Niagara (MAAC),,199,550,17.2,480,15.0,7,975,30.47,476,633,75.2,235,7.34,6.2,16,16,50.0,"1,008",31.5,-1.0,"2,307",72.1,0.4,740,23.13,363,11.34,409,378,1.08,36.2,822,"1,749",47.0,14.9,862,"1,834",47.0,508,179,35.2,"2,319",72.5,19.8
Nicholls (Southland),,284,778,22.9,636,18.7,15,"1,199",35.26,530,731,72.5,325,9.56,8.4,20,14,58.8,"1,252",36.8,-1.6,"2,514",73.9,-0.1,874,25.71,389,11.44,387,450,0.86,36.5,849,"1,909",44.5,15.6,879,"2,025",43.4,727,229,31.5,"2,512",73.9,21.5
Norfolk St. (MEAC),,223,656,18.7,650,18.6,6,"1,205",34.43,569,788,72.2,384,10.97,6.4,24,11,68.6,"1,158",33.1,1.3,"2,364",67.5,7.0,821,23.46,538,15.37,436,425,1.03,34.0,908,"1,978",45.9,16.3,762,"1,866",40.8,842,285,33.8,"2,608",74.5,22.5
North Ala. (ASUN),,246,679,21.2,589,18.4,16,"1,132",35.38,487,634,76.8,317,9.91,7.7,15,17,46.9,"1,135",35.5,-0.1,"2,435",76.1,0.4,815,25.47,325,10.16,359,324,1.11,36.2,857,"1,931",44.4,15.2,833,"1,870",44.5,649,227,35.0,"2,447",76.5,19.8
North Carolina (ACC),1,301,839,22.7,611,16.5,10,"1,520",41.08,639,842,75.9,452,12.22,8.1,29,8,78.4,"1,250",33.8,7.3,"2,608",70.5,11.5,"1,068",28.86,392,10.59,536,373,1.44,35.9,"1,046","2,323",45.0,17.3,935,"2,281",41.0,817,262,32.1,"3,032",81.9,22.8
North Dakota (Summit League),,264,809,25.3,485,15.2,6,"1,171",36.59,428,600,71.3,366,11.44,8.3,18,14,56.3,"1,077",33.7,2.9,"2,300",71.9,3.4,805,25.16,343,10.72,371,324,1.15,32.6,858,"1,934",44.4,13.4,849,"1,871",45.4,636,214,33.6,"2,408",75.3,18.8
North Dakota St. (Summit League),,252,667,20.8,468,14.6,5,"1,097",34.28,390,543,71.8,271,8.47,7.9,15,17,46.9,"1,026",32.1,2.2,"2,366",73.9,0.7,826,25.81,303,9.47,370,355,1.04,37.8,873,"1,834",47.6,12.2,879,"1,909",46.0,647,232,35.9,"2,388",74.6,17.0
North Florida (ASUN),,383,"1,063",33.2,517,16.2,12,"1,076",33.63,415,542,76.6,284,8.88,12.0,16,16,50.0,"1,144",35.8,-2.1,"2,427",75.8,2.2,792,24.75,336,10.5,398,362,1.1,36.0,849,"1,917",44.3,13.0,889,"1,928",46.1,581,200,34.4,"2,496",78.0,16.9
North Texas (AAC),,284,753,22.1,571,16.8,10,"1,179",34.68,417,566,73.7,390,11.47,8.4,19,15,55.9,"1,111",32.7,2.0,"2,169",63.8,5.4,789,23.21,419,12.32,378,378,1.0,37.7,826,"1,907",43.3,12.3,740,"1,785",41.5,641,212,33.1,"2,353",69.2,16.6
Northeastern (CAA),,204,642,20.1,485,15.2,3,"1,062",33.19,397,531,74.8,326,10.19,6.4,12,20,37.5,981,30.7,2.5,"2,315",72.3,-2.9,736,23.0,357,11.16,435,398,1.09,31.8,810,"1,780",45.5,12.4,834,"1,792",46.5,696,261,37.5,"2,221",69.4,16.6
Northern Ariz. (Big Sky),,207,663,20.1,605,18.3,7,"1,034",31.33,408,586,69.6,274,8.3,6.3,14,19,42.4,"1,207",36.6,-5.2,"2,529",76.6,-8.0,760,23.03,384,11.64,444,416,1.07,31.2,825,"1,883",43.8,12.4,905,"1,908",47.4,649,208,32.0,"2,265",68.6,17.8
Northern Colo. (Big Sky),,254,730,22.1,547,16.6,12,"1,157",35.06,425,583,72.9,270,8.18,7.7,19,14,57.6,"1,133",34.3,0.7,"2,542",77.0,2.3,887,26.88,374,11.33,482,368,1.31,34.8,969,"1,997",48.5,12.9,912,"2,028",45.0,811,285,35.1,"2,617",79.3,17.7
Northern Ky. (Horizon),,209,656,19.9,543,16.5,11,"1,141",34.58,497,691,71.9,347,10.52,6.3,18,15,54.5,"1,187",36.0,-1.4,"2,416",73.2,1.6,794,24.06,480,14.55,456,407,1.12,31.9,882,"1,935",45.6,15.1,875,"1,968",44.5,815,254,31.2,"2,470",74.8,20.9
Northwestern (Big Ten),9,278,713,21.0,598,17.6,12,"1,068",31.41,431,573,75.2,290,8.53,8.2,22,12,64.7,"1,137",33.4,-2.0,"2,348",69.1,4.3,778,22.88,422,12.41,530,300,1.77,39.0,892,"1,960",45.5,12.7,806,"1,788",45.1,668,230,34.4,"2,493",73.3,16.9
Northwestern St. (Southland),,204,643,20.1,598,18.7,12,"1,107",34.59,437,663,65.9,365,11.41,6.4,9,23,28.1,"1,212",37.9,-3.3,"2,429",75.9,-5.4,742,23.19,429,13.41,368,425,0.87,31.7,808,"1,872",43.2,13.7,840,"1,860",45.2,692,223,32.2,"2,257",70.5,20.7
Notre Dame (ACC),,251,790,23.9,497,15.1,3,"1,185",35.91,378,508,74.4,324,9.82,7.6,13,20,39.4,"1,129",34.2,1.7,"2,216",67.2,-3.1,861,26.09,328,9.94,335,413,0.81,31.8,742,"1,824",40.7,11.5,806,"1,910",42.2,702,228,32.5,"2,113",64.0,15.4
Oakland (Horizon),14,318,895,24.9,544,15.1,11,"1,292",35.89,501,667,75.1,383,10.64,8.8,24,12,66.7,"1,248",34.7,1.2,"2,634",73.2,3.3,909,25.25,403,11.19,522,396,1.32,35.5,966,"2,166",44.6,13.9,951,"2,175",43.7,889,301,33.9,"2,751",76.4,18.5
Ohio (MAC),,294,827,25.1,562,17.0,9,"1,153",34.94,455,623,73.0,333,10.09,8.9,20,13,60.6,"1,198",36.3,-1.4,"2,309",70.0,7.3,820,24.85,452,13.7,464,321,1.45,35.6,901,"1,987",45.3,13.8,809,"1,904",42.5,715,238,33.3,"2,551",77.3,18.9
Ohio St. (Big Ten),,254,736,20.4,611,17.0,11,"1,335",37.08,550,717,76.7,394,10.94,7.1,22,14,61.1,"1,235",34.3,2.8,"2,528",70.2,5.3,941,26.14,388,10.78,507,381,1.33,34.5,957,"2,126",45.0,15.3,913,"2,133",42.8,717,249,34.7,"2,718",75.5,19.9
Oklahoma (Big 12),,239,692,21.6,515,16.1,6,"1,126",35.19,503,677,74.3,310,9.69,7.5,20,12,62.5,"1,009",31.5,3.7,"2,201",68.8,6.6,816,25.5,364,11.38,427,399,1.07,34.5,835,"1,797",46.5,15.7,782,"1,855",42.2,662,198,29.9,"2,412",75.4,21.2
Oklahoma St. (Big 12),,260,778,24.3,511,16.0,5,"1,078",33.69,426,611,69.7,294,9.19,8.1,12,20,37.5,"1,087",34.0,-0.3,"2,327",72.7,-1.7,784,24.5,369,11.53,428,413,1.04,33.4,793,"1,799",44.1,13.3,865,"1,891",45.7,623,212,34.0,"2,272",71.0,19.1
Old Dominion (Sun Belt),,221,694,21.7,581,18.2,7,"1,134",35.44,365,551,66.2,320,10.0,6.9,7,25,21.9,"1,295",40.5,-5.0,"2,464",77.0,-6.1,814,25.44,415,12.97,330,349,0.95,31.8,841,"2,001",42.0,11.4,825,"1,893",43.6,794,280,35.3,"2,268",70.9,17.2
Ole Miss (SEC),,241,660,20.6,522,16.3,7,"1,071",33.47,479,658,72.8,333,10.41,7.5,20,12,62.5,"1,186",37.1,-3.6,"2,365",73.9,1.0,738,23.06,398,12.44,484,344,1.41,36.5,839,"1,876",44.7,15.0,843,"1,916",44.0,708,239,33.8,"2,398",74.9,20.6
Omaha (Summit League),,206,631,19.1,552,16.7,6,"1,111",33.67,545,734,74.3,282,8.55,6.2,15,18,45.5,"1,115",33.8,-0.1,"2,404",72.8,1.1,829,25.12,373,11.3,336,326,1.03,32.6,845,"1,873",45.1,16.5,839,"1,871",44.8,806,286,35.5,"2,441",74.0,22.2
Oral Roberts (Summit League),,285,790,25.5,534,17.2,9,"1,022",32.97,366,493,74.2,235,7.58,9.2,12,19,38.7,"1,188",38.3,-5.4,"2,334",75.3,-1.9,787,25.39,334,10.77,341,300,1.14,36.1,812,"1,846",44.0,11.8,831,"1,882",44.2,722,258,35.7,"2,275",73.4,15.9
Oregon (Pac-12),11,263,778,21.6,591,16.4,7,"1,238",34.39,494,687,71.9,357,9.92,7.3,24,12,66.7,"1,221",33.9,0.5,"2,602",72.3,3.3,881,24.47,442,12.28,497,366,1.36,33.8,982,"2,145",45.8,13.7,928,"2,059",45.1,758,265,35.0,"2,721",75.6,19.1
Oregon St. (Pac-12),,196,597,18.7,593,18.5,6,"1,041",32.53,464,630,73.7,275,8.59,6.1,13,19,40.6,"1,092",34.1,-1.6,"2,326",72.7,-3.8,766,23.94,371,11.59,355,395,0.9,32.8,772,"1,745",44.2,14.5,816,"1,832",44.5,699,231,33.0,"2,204",68.9,19.7
Pacific (WCC),,203,643,20.1,551,17.2,8,875,27.34,418,650,64.3,209,6.53,6.3,6,26,18.8,"1,213",37.9,-10.6,"2,553",79.8,-15.1,666,20.81,369,11.53,422,377,1.12,31.6,725,"1,762",41.1,13.1,903,"1,867",48.4,739,261,35.3,"2,071",64.7,20.3
Penn (Ivy League),,275,750,25.9,431,14.9,3,"1,042",35.93,322,468,68.8,303,10.45,9.5,11,18,37.9,975,33.6,2.3,"2,157",74.4,0.1,739,25.48,289,9.97,428,323,1.33,36.7,781,"1,721",45.4,11.1,782,"1,721",45.4,748,268,35.8,"2,159",74.4,16.1
Penn St. (Big Ten),,255,764,23.2,603,18.3,9,"1,065",32.27,515,689,74.7,316,9.58,7.7,16,17,48.5,"1,218",36.9,-4.6,"2,422",73.4,1.7,749,22.7,484,14.67,417,366,1.14,33.4,854,"1,951",43.8,15.6,854,"1,888",45.2,620,188,30.3,"2,478",75.1,20.9
Pepperdine (WCC),,225,624,18.9,537,16.3,8,"1,115",33.79,442,628,70.4,334,10.12,6.8,13,20,39.4,"1,080",32.7,1.1,"2,443",74.0,-1.2,781,23.67,381,11.55,438,370,1.18,36.1,868,"1,924",45.1,13.4,889,"1,850",48.1,577,219,38.0,"2,403",72.8,19.0
Pittsburgh (ACC),,317,887,26.9,510,15.5,7,"1,223",37.06,432,610,70.8,376,11.39,9.6,22,11,66.7,"1,100",33.3,3.7,"2,232",67.6,8.0,847,25.67,366,11.09,452,297,1.52,35.7,873,"1,999",43.7,13.1,793,"1,841",43.1,711,219,30.8,"2,495",75.6,18.5
Portland (WCC),,292,842,25.5,490,14.8,11,"1,112",33.7,416,581,71.6,276,8.36,8.8,12,21,36.4,"1,193",36.2,-2.5,"2,622",79.5,-7.9,836,25.33,301,9.12,446,394,1.13,34.7,826,"1,891",43.7,12.6,970,"2,089",46.4,933,354,37.9,"2,360",71.5,17.6
Portland St. (Big Sky),,237,730,22.8,579,18.1,6,"1,181",36.91,447,652,68.6,375,11.72,7.4,17,15,53.1,"1,182",36.9,0.0,"2,299",71.8,0.1,806,25.19,419,13.09,379,361,1.05,32.5,809,"1,949",41.5,14.0,818,"1,841",44.4,701,247,35.2,"2,302",71.9,20.4
Prairie View (SWAC),,149,489,15.8,626,20.2,23,952,30.71,487,675,72.1,303,9.77,4.8,10,21,32.3,"1,155",37.3,-6.5,"2,368",76.4,-6.2,649,20.94,516,16.65,373,396,0.94,30.5,770,"1,831",42.1,15.7,808,"1,708",47.3,561,195,34.8,"2,176",70.2,21.8
Presbyterian (Big South),,210,629,19.1,612,18.5,15,"1,099",33.3,465,701,66.3,312,9.45,6.4,14,19,42.4,"1,115",33.8,-0.5,"2,413",73.1,1.7,787,23.85,426,12.91,426,377,1.13,33.4,897,"1,901",47.2,14.1,825,"1,801",45.8,632,221,35.0,"2,469",74.8,21.2
Princeton (Ivy League),,304,854,29.4,392,13.5,1,966,33.31,377,468,80.6,244,8.41,10.5,24,5,82.8,928,32.0,1.3,"1,932",66.6,10.4,722,24.9,321,11.07,422,237,1.78,35.6,777,"1,695",45.8,13.0,718,"1,616",44.4,629,205,32.6,"2,235",77.1,16.1
Providence (Big East),,290,891,25.5,552,15.8,9,"1,257",35.91,462,640,72.2,321,9.17,8.3,21,14,60.0,"1,230",35.1,0.8,"2,407",68.8,3.6,936,26.74,411,11.74,477,424,1.13,32.5,891,"2,011",44.3,13.2,872,"2,094",41.6,715,245,34.3,"2,534",72.4,18.3
Purdue (Big Ten),1,318,788,20.2,536,13.7,2,"1,577",40.44,675,938,72.0,476,12.21,8.2,34,5,87.2,"1,141",29.3,11.2,"2,689",68.9,13.4,"1,101",28.23,368,9.44,720,442,1.63,40.4,"1,109","2,272",48.8,17.3,"1,011","2,423",41.7,893,281,31.5,"3,211",82.3,24.1
Purdue Fort Wayne (Horizon),,340,942,26.2,612,17.0,11,"1,173",32.58,460,654,70.3,302,8.39,9.4,23,13,63.9,"1,330",36.9,-4.4,"2,577",71.6,8.6,871,24.19,581,16.14,490,375,1.31,36.1,"1,043","2,231",46.8,12.8,930,"2,080",44.7,770,245,31.8,"2,886",80.2,18.2
Quinnipiac (MAAC),,254,723,21.3,552,16.2,8,"1,256",36.94,500,645,77.5,369,10.85,7.5,24,10,70.6,"1,137",33.4,3.5,"2,422",71.2,6.1,887,26.09,440,12.94,479,423,1.13,35.1,938,"2,089",44.9,14.7,874,"2,074",42.1,768,257,33.5,"2,630",77.4,19.0
Radford (Big South),,238,655,19.8,561,17.0,11,"1,143",34.64,397,537,73.9,339,10.27,7.2,16,17,48.5,"1,158",35.1,-0.5,"2,361",71.5,0.5,804,24.36,346,10.48,366,357,1.03,36.3,871,"1,907",45.7,12.0,845,"1,946",43.4,781,247,31.6,"2,377",72.0,16.3
Rhode Island (Atlantic 10),,209,599,18.7,541,16.9,8,"1,178",36.81,461,713,64.7,332,10.38,6.5,12,20,37.5,"1,100",34.4,2.4,"2,443",76.3,-3.8,846,26.44,289,9.03,408,403,1.01,34.9,826,"1,800",45.9,14.4,890,"1,967",45.2,776,277,35.7,"2,322",72.6,22.3
Rice (AAC),,251,744,23.3,463,14.5,4,"1,134",35.44,387,557,69.5,330,10.31,7.8,11,21,34.4,"1,138",35.6,-0.1,"2,421",75.7,-3.7,804,25.13,328,10.25,461,372,1.24,33.7,833,"1,880",44.3,12.1,875,"1,941",45.1,748,281,37.6,"2,304",72.0,17.4
Richmond (Atlantic 10),,242,668,20.2,468,14.2,4,"1,081",32.76,382,522,73.2,188,5.7,7.3,23,10,69.7,"1,224",37.1,-4.3,"2,188",66.3,5.6,893,27.06,381,11.55,436,285,1.53,36.2,874,"1,889",46.3,11.6,783,"1,932",40.5,786,247,31.4,"2,372",71.9,15.8
Rider (MAAC),,182,540,16.9,560,17.5,14,"1,202",37.56,455,608,74.8,362,11.31,5.7,15,17,46.9,"1,112",34.8,2.8,"2,308",72.1,0.0,840,26.25,368,11.5,427,398,1.07,33.7,836,"1,921",43.5,14.2,794,"1,878",42.3,723,245,33.9,"2,309",72.2,19.0
Robert Morris (Horizon),,273,812,25.4,564,17.6,16,"1,159",36.22,387,540,71.7,391,12.22,8.5,10,22,31.3,"1,068",33.4,2.8,"2,425",75.8,-3.1,768,24.0,348,10.88,431,443,0.97,33.6,833,"1,927",43.2,12.1,860,"1,865",46.1,644,218,33.9,"2,326",72.7,16.9
Rutgers (Big Ten),,175,610,19.1,541,16.9,11,"1,188",37.13,417,634,65.8,392,12.25,5.5,15,17,46.9,"1,267",39.6,-2.5,"2,129",66.5,-1.2,796,24.88,477,14.91,377,365,1.03,28.7,750,"1,927",38.9,13.0,733,"1,798",40.8,709,232,32.7,"2,092",65.4,19.8
SFA (WAC),,203,607,18.4,697,21.1,13,"1,184",35.88,562,796,70.6,393,11.91,6.2,18,15,54.5,"1,085",32.9,3.0,"2,353",71.3,3.3,791,23.97,563,17.06,422,530,0.8,33.4,849,"1,890",44.9,17.0,759,"1,792",42.4,665,247,37.1,"2,463",74.6,24.1
SIUE (OVC),,239,720,21.8,550,16.7,9,"1,175",35.61,457,631,72.4,375,11.36,7.2,17,16,51.5,"1,150",34.8,0.8,"2,314",70.1,1.4,800,24.24,407,12.33,374,352,1.06,33.2,832,"1,965",42.3,13.8,798,"1,829",43.6,690,249,36.1,"2,360",71.5,19.1
SMU (AAC),,251,735,22.3,564,17.1,13,"1,314",39.82,416,606,68.6,480,14.55,7.6,20,13,60.6,"1,146",34.7,5.1,"2,271",68.8,8.0,834,25.27,428,12.97,517,372,1.39,34.1,934,"2,089",44.7,12.6,793,"1,921",41.3,701,222,31.7,"2,535",76.8,18.4
Sacramento St. (Big Sky),,258,780,22.9,577,17.0,7,"1,209",35.56,428,598,71.6,399,11.74,7.6,10,24,29.4,991,29.1,6.4,"2,394",70.4,-3.3,810,23.82,350,10.29,444,495,0.9,33.1,798,"1,855",43.0,12.6,859,"1,854",46.3,720,251,34.9,"2,282",67.1,17.6
Sacred Heart (NEC),,237,650,20.3,540,16.9,15,"1,079",33.72,407,586,69.5,300,9.38,7.4,16,16,50.0,"1,187",37.1,-3.4,"2,313",72.3,1.8,779,24.34,464,14.5,440,373,1.18,36.5,864,"1,898",45.5,12.7,821,"1,888",43.5,771,272,35.3,"2,372",74.1,18.3
Saint Francis (PA) (NEC),,193,576,19.2,532,17.7,6,"1,038",34.6,336,551,61.0,357,11.9,6.4,8,22,26.7,"1,024",34.1,0.5,"2,181",72.7,-7.5,681,22.7,356,11.87,367,412,0.89,33.5,713,"1,682",42.4,11.2,769,"1,685",45.6,640,222,34.7,"1,955",65.2,18.4
Saint Joseph's (Atlantic 10),,351,996,28.5,534,15.3,7,"1,253",35.8,434,598,72.6,353,10.09,10.0,21,14,60.0,"1,229",35.1,0.7,"2,469",70.5,4.9,900,25.71,427,12.2,513,401,1.28,35.2,928,"2,084",44.5,12.4,873,"2,080",42.0,884,292,33.0,"2,641",75.5,17.1
Saint Louis (Atlantic 10),,259,705,21.4,596,18.1,14,"1,107",33.55,524,699,75.0,287,8.7,7.8,13,20,39.4,"1,155",35.0,-1.5,"2,620",79.4,-4.5,820,24.85,335,10.15,426,388,1.1,36.7,845,"1,873",45.1,15.9,906,"1,965",46.1,830,303,36.5,"2,473",74.9,21.2
Saint Mary's (CA) (WCC),,258,733,21.6,556,16.4,12,"1,345",39.56,386,571,67.6,448,13.18,7.6,26,8,76.5,942,27.7,11.9,"2,013",59.2,14.8,897,26.38,369,10.85,550,347,1.59,35.2,936,"2,007",46.6,11.4,712,"1,797",39.6,532,167,31.4,"2,516",74.0,16.8
Saint Peter's (MAAC),15,192,590,17.9,640,19.4,9,"1,161",35.18,508,713,71.2,411,12.45,5.8,19,14,57.6,"1,106",33.5,1.7,"2,113",64.0,0.8,750,22.73,449,13.61,350,414,0.85,32.5,720,"1,830",39.3,15.4,707,"1,696",41.7,590,193,32.7,"2,140",64.8,21.6
