Team,Seed,DRebs,DRPG,SCR MAR,AST,TO,Ratio,PTS,PPG,OPP FG,OPP FGA,OPP FG%,W,L,Win%,FT,FTA,FT%,FTA PG,Fouls,PFPG,DQ,Opp TO,TO PG,Opp 3FGA,Opp 3FG,Opp 3FG%,3FG,3FGA,3FGA PG,OPP PTS,OPP PPG,FGM,FGA,FG%,OPP REB,OPP RPG,REB MAR,ORebs,ORPG,3FG%,3FG PG,REB,RPG,FT PG
Notre Dame (ACC),,784,24.5,-2.5,379.0,281.0,1.35,"2,227",69.6,854,"1,862",45.9,11.0,21.0,34.4,325.0,426.0,76.3,13.3,456.0,14.3,7.0,286.0,8.94,673.0,231.0,34.3,282.0,787,24.6,"2,307",72.1,810,"1,830",44.3,"1,146",35.8,-4.8,210.0,6.56,35.8,8.8,994,31.06,10.2
Oakland (Horizon),,709,22.16,-3.0,384.0,339.0,1.13,"2,347",73.3,912,"1,949",46.8,13.0,19.0,40.6,469.0,604.0,77.6,18.9,448.0,14.0,9.0,438.0,13.69,769.0,283.0,36.8,232.0,753,23.5,"2,442",76.3,823,"1,892",43.5,"1,174",36.7,-6.2,268.0,8.38,30.8,7.3,977,30.53,14.7
Ohio (MAC),,840,25.45,5.7,412.0,370.0,1.11,"2,602",78.8,860,"1,932",44.5,19.0,14.0,57.6,417.0,571.0,73.0,17.3,585.0,17.7,11.0,410.0,12.42,747.0,254.0,34.0,295.0,791,24.0,"2,413",73.1,945,"2,063",45.8,"1,135",34.4,3.2,399.0,12.09,37.3,8.9,"1,239",37.55,12.6
Ohio St. (Big Ten),,887,25.34,3.5,410.0,375.0,1.09,"2,538",72.5,879,"2,046",43.0,16.0,19.0,45.7,403.0,545.0,73.9,15.6,573.0,16.4,14.0,369.0,10.54,751.0,241.0,32.1,239.0,650,18.6,"2,414",69.0,948,"2,052",46.2,"1,159",33.1,2.8,370.0,10.57,36.8,6.8,"1,257",35.91,11.5
Oklahoma (Big 12),,817,25.53,0.1,417.0,428.0,0.97,"2,165",67.7,797,"1,845",43.2,15.0,17.0,46.9,377.0,513.0,73.5,16.0,518.0,16.2,10.0,332.0,10.38,567.0,177.0,31.2,224.0,638,19.9,"2,161",67.5,782,"1,707",45.8,"1,050",32.8,0.0,232.0,7.25,35.1,7.0,"1,049",32.78,11.8
Oklahoma St. (Big 12),,935,25.97,2.4,452.0,507.0,0.89,"2,458",68.3,820,"2,076",39.5,20.0,16.0,55.6,461.0,664.0,69.4,18.4,611.0,17.0,7.0,464.0,12.89,808.0,255.0,31.6,247.0,797,22.1,"2,370",65.8,875,"2,046",42.8,"1,213",33.7,3.7,410.0,11.39,31.0,6.9,"1,345",37.36,12.8
Old Dominion (Sun Belt),,800,25.81,0.7,328.0,348.0,0.94,"2,073",66.9,714,"1,730",41.3,19.0,12.0,61.3,439.0,646.0,68.0,20.8,519.0,16.7,9.0,355.0,11.45,731.0,229.0,31.3,164.0,523,16.9,"2,052",66.2,735,"1,760",41.8,"1,089",35.1,2.8,375.0,12.1,31.4,5.3,"1,175",37.9,14.2
Ole Miss (SEC),,784,23.76,-1.6,432.0,402.0,1.07,"2,227",67.5,819,"1,873",43.7,12.0,21.0,36.4,392.0,564.0,69.5,17.1,525.0,15.9,8.0,398.0,12.06,645.0,218.0,33.8,203.0,671,20.3,"2,279",69.1,816,"1,933",42.2,"1,127",34.2,1.6,396.0,12.0,30.3,6.2,"1,180",35.76,11.9
Omaha (Summit League),,778,24.31,-7.7,380.0,400.0,0.95,"2,192",68.5,851,"1,859",45.8,9.0,23.0,28.1,415.0,535.0,77.6,16.7,584.0,18.3,14.0,349.0,10.91,760.0,275.0,36.2,183.0,540,16.9,"2,438",76.2,797,"1,805",44.2,"1,120",35.0,-2.6,259.0,8.09,33.9,5.7,"1,037",32.41,13.0
Oral Roberts (Summit League),12,975,27.86,13.1,514.0,329.0,1.56,"2,915",83.3,918,"2,207",41.6,30.0,5.0,85.7,424.0,548.0,77.4,15.7,453.0,12.9,3.0,445.0,12.71,868.0,301.0,34.7,375.0,"1,027",29.3,"2,458",70.2,"1,058","2,231",47.4,"1,287",36.8,0.0,313.0,8.94,36.5,10.7,"1,288",36.8,12.1
Oregon (Pac-12),,957,26.58,4.3,477.0,440.0,1.08,"2,542",70.6,866,"2,119",40.9,21.0,15.0,58.3,454.0,653.0,69.5,18.1,529.0,14.7,4.0,395.0,10.97,787.0,265.0,33.7,256.0,799,22.2,"2,386",66.3,916,"2,043",44.8,"1,165",32.4,5.3,397.0,11.03,32.0,7.1,"1,354",37.61,12.6
Oregon St. (Pac-12),,742,23.19,-5.8,326.0,429.0,0.76,"1,959",61.2,745,"1,743",42.7,11.0,21.0,34.4,415.0,551.0,75.3,17.2,570.0,17.8,8.0,377.0,11.78,665.0,225.0,33.8,192.0,605,18.9,"2,144",67.0,676,"1,647",41.0,"1,075",33.6,-2.5,254.0,7.94,31.7,6.0,996,31.13,13.0
Pacific (WCC),,777,23.55,-1.9,419.0,389.0,1.08,"2,502",75.8,906,"1,937",46.8,15.0,18.0,45.5,469.0,651.0,72.0,19.7,628.0,19.0,9.0,428.0,12.97,780.0,275.0,35.3,297.0,761,23.1,"2,565",77.7,868,"1,920",45.2,"1,219",36.9,-5.3,267.0,8.09,39.0,9.0,"1,044",31.64,14.2
Penn (Ivy League),,824,27.47,3.0,444.0,382.0,1.16,"2,249",75.0,757,"1,811",41.8,17.0,13.0,56.7,381.0,514.0,74.1,17.1,543.0,18.1,12.0,309.0,10.3,800.0,260.0,32.5,244.0,678,22.6,"2,160",72.0,812,"1,749",46.4,"1,014",33.8,3.8,304.0,10.13,36.0,8.1,"1,128",37.6,12.7
Penn St. (Big Ten),10,978,26.43,4.0,508.0,332.0,1.53,"2,673",72.2,933,"2,171",43.0,23.0,14.0,62.2,332.0,449.0,73.9,12.1,572.0,15.5,7.0,317.0,8.57,816.0,267.0,32.7,385.0,995,26.9,"2,524",68.2,978,"2,111",46.3,"1,293",34.9,-2.4,227.0,6.14,38.7,10.4,"1,205",32.57,9.0
Pepperdine (WCC),,823,26.55,-3.3,469.0,436.0,1.08,"2,417",78.0,915,"1,991",46.0,9.0,22.0,29.0,368.0,518.0,71.0,16.7,548.0,17.7,16.0,378.0,12.19,676.0,243.0,35.9,253.0,699,22.5,"2,520",81.3,898,"1,930",46.5,"1,149",37.1,-1.3,286.0,9.23,36.2,8.2,"1,109",35.77,11.9
Pittsburgh (ACC),11,937,26.03,5.4,509.0,400.0,1.27,"2,704",75.1,892,"2,122",42.0,24.0,12.0,66.7,519.0,684.0,75.9,19.0,585.0,16.3,10.0,406.0,11.28,836.0,273.0,32.7,325.0,903,25.1,"2,510",69.7,930,"2,081",44.7,"1,246",34.6,1.5,364.0,10.11,36.0,9.0,"1,301",36.14,14.4
Portland (WCC),,814,24.67,-0.8,488.0,420.0,1.16,"2,566",77.8,932,"2,045",45.6,14.0,19.0,42.4,577.0,774.0,74.5,23.5,579.0,17.5,13.0,403.0,12.21,891.0,337.0,37.8,317.0,845,25.6,"2,594",78.6,836,"1,837",45.5,"1,169",35.4,-2.6,268.0,8.12,37.5,9.6,"1,082",32.79,17.5
Portland St. (Big Sky),,685,22.1,0.7,431.0,375.0,1.15,"2,363",76.2,787,"1,669",47.2,12.0,19.0,38.7,459.0,631.0,72.7,20.4,700.0,22.6,21.0,495.0,15.97,566.0,202.0,35.7,234.0,688,22.2,"2,340",75.5,835,"1,865",44.8,"1,113",35.9,-4.5,289.0,9.32,34.0,7.5,974,31.42,14.8
Prairie View (SWAC),,745,23.28,-0.9,352.0,438.0,0.8,"2,168",67.8,742,"1,723",43.1,13.0,19.0,40.6,431.0,629.0,68.5,19.7,610.0,19.1,16.0,494.0,15.44,579.0,197.0,34.0,191.0,631,19.7,"2,196",68.6,773,"1,914",40.4,"1,079",33.7,1.4,378.0,11.81,30.3,6.0,"1,123",35.09,13.5
Presbyterian (Big South),,712,22.25,-6.3,344.0,430.0,0.8,"2,021",63.2,786,"1,686",46.6,5.0,27.0,15.6,394.0,630.0,62.5,19.7,617.0,19.3,20.0,396.0,12.38,592.0,222.0,37.5,191.0,616,19.3,"2,223",69.5,718,"1,709",42.0,"1,052",32.9,-0.1,336.0,10.5,31.0,6.0,"1,048",32.75,12.3
Princeton (Ivy League),15,923,28.84,7.0,436.0,385.0,1.13,"2,416",75.5,810,"1,904",42.5,23.0,9.0,71.9,410.0,576.0,71.2,18.0,512.0,16.0,7.0,336.0,10.5,633.0,204.0,32.2,272.0,796,24.9,"2,192",68.5,867,"1,906",45.5,"1,055",33.0,6.0,325.0,10.16,34.2,8.5,"1,248",39.0,12.8
Providence (Big East),11,857,25.97,6.3,482.0,387.0,1.25,"2,552",77.3,872,"1,980",44.0,21.0,12.0,63.6,532.0,717.0,74.2,21.7,495.0,15.0,5.0,387.0,11.73,665.0,225.0,33.8,218.0,630,19.1,"2,343",71.0,901,"1,975",45.6,"1,069",32.4,5.7,400.0,12.12,34.6,6.6,"1,257",38.09,16.1
Purdue (Big Ten),1,924,26.4,9.9,542.0,388.0,1.4,"2,543",72.7,842,"2,024",41.6,29.0,6.0,82.9,536.0,720.0,74.4,20.6,479.0,13.7,0.0,348.0,9.94,717.0,225.0,31.4,239.0,743,21.2,"2,196",62.7,884,"1,936",45.7,975,27.9,10.8,430.0,12.29,32.2,6.8,"1,354",38.69,15.3
Purdue Fort Wayne (Horizon),,821,25.66,4.1,418.0,421.0,0.99,"2,364",73.9,847,"1,909",44.4,17.0,15.0,53.1,384.0,545.0,70.5,17.0,467.0,14.6,3.0,414.0,12.94,754.0,228.0,30.2,308.0,891,27.8,"2,234",69.8,836,"1,906",43.9,"1,107",34.6,1.0,318.0,9.94,34.6,9.6,"1,139",35.59,12.0
Quinnipiac (MAAC),,832,26.0,3.3,419.0,404.0,1.04,"2,335",73.0,822,"1,941",42.3,20.0,12.0,62.5,420.0,630.0,66.7,19.7,525.0,16.4,8.0,377.0,11.78,710.0,225.0,31.7,263.0,725,22.7,"2,231",69.7,826,"1,908",43.3,"1,092",34.1,3.3,365.0,11.41,36.3,8.2,"1,197",37.41,13.1
Radford (Big South),,832,23.11,4.6,426.0,426.0,1.0,"2,496",69.3,849,"1,889",44.9,21.0,15.0,58.3,399.0,579.0,68.9,16.1,606.0,16.8,10.0,483.0,13.42,701.0,233.0,33.2,235.0,654,18.2,"2,332",64.8,931,"2,023",46.0,"1,128",31.3,2.1,370.0,10.28,35.9,6.5,"1,202",33.39,11.1
Rhode Island (Atlantic 10),,785,25.32,-4.6,347.0,437.0,0.79,"2,046",66.0,793,"1,822",43.5,9.0,22.0,29.0,486.0,653.0,74.4,21.1,557.0,18.0,8.0,370.0,11.94,633.0,203.0,32.1,168.0,553,17.8,"2,190",70.6,696,"1,765",39.4,"1,115",36.0,1.1,363.0,11.71,30.4,5.4,"1,148",37.03,15.7
Rice (CUSA),,926,26.46,0.4,533.0,450.0,1.18,"2,693",76.9,"1,006","2,161",46.6,19.0,16.0,54.3,473.0,641.0,73.8,18.3,541.0,15.5,6.0,417.0,11.91,809.0,294.0,36.3,308.0,875,25.0,"2,680",76.6,956,"2,052",46.6,"1,211",34.6,0.3,294.0,8.4,35.2,8.8,"1,220",34.86,13.5
Richmond (Atlantic 10),,841,25.48,1.1,402.0,380.0,1.06,"2,273",68.9,813,"1,893",42.9,15.0,18.0,45.5,440.0,591.0,74.5,17.9,499.0,15.1,3.0,381.0,11.55,762.0,251.0,32.9,261.0,790,23.9,"2,237",67.8,786,"1,791",43.9,"1,137",34.5,-2.1,226.0,6.85,33.0,7.9,"1,067",32.33,13.3
Rider (MAAC),,746,24.87,2.6,341.0,345.0,0.99,"2,105",70.2,690,"1,625",42.5,16.0,14.0,53.3,369.0,502.0,73.5,16.7,548.0,18.3,11.0,334.0,11.13,699.0,249.0,35.6,150.0,449,15.0,"2,027",67.6,793,"1,746",45.4,947,31.6,4.6,339.0,11.3,33.4,5.0,"1,085",36.17,12.3
Robert Morris (Horizon),,808,24.48,2.5,457.0,432.0,1.06,"2,287",69.3,793,"1,831",43.3,16.0,17.0,48.5,364.0,505.0,72.1,15.3,533.0,16.2,8.0,435.0,13.18,591.0,209.0,35.4,235.0,703,21.3,"2,205",66.8,844,"1,904",44.3,"1,110",33.6,1.1,337.0,10.21,33.4,7.1,"1,145",34.7,11.0
Rutgers (Big Ten),,857,25.21,7.3,512.0,388.0,1.32,"2,326",68.4,742,"1,855",40.0,19.0,15.0,55.9,397.0,567.0,70.0,16.7,543.0,16.0,8.0,492.0,14.47,796.0,245.0,30.8,195.0,608,17.9,"2,079",61.1,867,"2,012",43.1,"1,166",34.3,2.5,394.0,11.59,32.1,5.7,"1,251",36.79,11.7
SFA (WAC),,760,23.75,5.9,482.0,493.0,0.98,"2,427",75.8,764,"1,740",43.9,19.0,13.0,59.4,490.0,684.0,71.6,21.4,685.0,21.4,15.0,578.0,18.06,645.0,214.0,33.2,203.0,532,16.6,"2,238",69.9,867,"1,834",47.3,"1,067",33.3,1.1,342.0,10.69,38.2,6.3,"1,102",34.44,15.3
SIUE (OVC),,850,25.76,3.3,407.0,421.0,0.97,"2,463",74.6,823,"1,936",42.5,19.0,14.0,57.6,559.0,767.0,72.9,23.2,576.0,17.5,17.0,452.0,13.7,699.0,235.0,33.6,236.0,718,21.8,"2,353",71.3,834,"1,917",43.5,"1,171",35.5,1.5,372.0,11.27,32.9,7.2,"1,222",37.03,16.9
SMU (AAC),,783,24.47,-5.3,436.0,413.0,1.06,"2,248",70.3,864,"1,908",45.3,10.0,22.0,31.3,427.0,634.0,67.4,19.8,556.0,17.4,6.0,428.0,13.38,708.0,247.0,34.9,201.0,646,20.2,"2,418",75.6,810,"1,919",42.2,"1,201",37.5,-2.6,335.0,10.47,31.1,6.3,"1,118",34.94,13.3
Sacramento St. (Big Sky),,793,24.78,-1.7,436.0,427.0,1.02,"2,114",66.1,822,"1,801",45.6,14.0,18.0,43.8,341.0,489.0,69.7,15.3,497.0,15.5,8.0,302.0,9.44,549.0,193.0,35.2,217.0,629,19.7,"2,169",67.8,778,"1,751",44.4,950,29.7,6.0,348.0,10.88,34.5,6.8,"1,141",35.66,10.7
Sacred Heart (NEC),,831,25.18,-0.6,444.0,438.0,1.01,"2,332",70.7,866,"1,973",43.9,16.0,17.0,48.5,375.0,553.0,67.8,16.8,502.0,15.2,3.0,463.0,14.03,729.0,246.0,33.7,229.0,731,22.2,"2,351",71.2,864,"2,002",43.2,"1,226",37.2,-1.4,349.0,10.58,31.3,6.9,"1,180",35.76,11.4
Saint Francis (PA) (NEC),,772,24.9,-0.7,430.0,391.0,1.1,"2,263",73.0,843,"1,868",45.1,13.0,18.0,41.9,397.0,564.0,70.4,18.2,510.0,16.5,6.0,329.0,10.61,660.0,218.0,33.0,240.0,633,20.4,"2,286",73.7,813,"1,760",46.2,"1,062",34.3,-0.8,265.0,8.55,37.9,7.7,"1,037",33.45,12.8
Saint Joseph's (Atlantic 10),,800,24.24,0.0,399.0,421.0,0.95,"2,388",72.4,834,"1,923",43.4,16.0,17.0,48.5,462.0,657.0,70.3,19.9,578.0,17.5,18.0,437.0,13.24,810.0,276.0,34.1,290.0,882,26.7,"2,389",72.4,818,"1,920",42.6,"1,195",36.2,-1.6,342.0,10.36,32.9,8.8,"1,142",34.61,14.0
Saint Louis (Atlantic 10),,919,27.85,4.4,543.0,399.0,1.36,"2,493",75.5,819,"1,977",41.4,21.0,12.0,63.6,421.0,576.0,73.1,17.5,558.0,16.9,7.0,353.0,10.7,754.0,254.0,33.7,230.0,645,19.5,"2,348",71.2,921,"1,970",46.8,"1,110",33.6,4.4,335.0,10.15,35.7,7.0,"1,254",38.0,12.8
Saint Mary's (CA) (WCC),,865,24.71,10.5,439.0,373.0,1.18,"2,473",70.7,753,"1,806",41.7,27.0,8.0,77.1,434.0,625.0,69.4,17.9,579.0,16.5,14.0,436.0,12.46,577.0,191.0,33.1,263.0,720,20.6,"2,105",60.1,888,"1,952",45.5,"1,000",28.6,6.7,371.0,10.6,36.5,7.5,"1,236",35.31,12.4
Saint Peter's (MAAC),,686,21.44,-3.0,336.0,393.0,0.85,"1,986",62.1,664,"1,551",42.8,14.0,18.0,43.8,364.0,528.0,68.9,16.5,681.0,21.3,14.0,402.0,12.56,557.0,189.0,33.9,190.0,648,20.3,"2,083",65.1,716,"1,830",39.1,"1,037",32.4,2.6,433.0,13.53,29.3,5.9,"1,119",34.97,11.4
Sam Houston (WAC),,862,25.35,12.9,460.0,446.0,1.03,"2,454",72.2,667,"1,704",39.1,26.0,8.0,76.5,389.0,575.0,67.7,16.9,606.0,17.8,8.0,564.0,16.59,795.0,262.0,33.0,277.0,731,21.5,"2,015",59.3,894,"1,961",45.6,"1,040",30.6,6.2,388.0,11.41,37.9,8.1,"1,250",36.76,11.4
Samford (SoCon),,818,25.56,7.2,374.0,405.0,0.92,"2,519",78.7,770,"1,783",43.2,21.0,11.0,65.6,565.0,756.0,74.7,23.6,598.0,18.7,15.0,468.0,14.63,782.0,287.0,36.7,290.0,822,25.7,"2,290",71.6,832,"1,833",45.4,"1,066",33.3,2.2,319.0,9.97,35.3,9.1,"1,137",35.53,17.7
San Diego (WCC),,713,23.0,-3.4,398.0,355.0,1.12,"2,391",77.1,897,"1,818",49.3,11.0,20.0,35.5,449.0,587.0,76.5,18.9,547.0,17.6,13.0,399.0,12.87,757.0,309.0,40.8,244.0,691,22.3,"2,495",80.5,849,"1,882",45.1,"1,077",34.7,-1.6,314.0,10.13,35.3,7.9,"1,027",33.13,14.5
San Diego St. (Mountain West),5,990,25.38,7.7,504.0,452.0,1.12,"2,775",71.2,878,"2,146",40.9,32.0,7.0,82.1,532.0,737.0,72.2,18.9,634.0,16.3,9.0,503.0,12.9,857.0,243.0,28.4,271.0,778,19.9,"2,475",63.5,986,"2,251",43.8,"1,255",32.2,4.1,426.0,10.92,34.8,6.9,"1,416",36.31,13.6
San Francisco (WCC),,847,24.91,2.8,436.0,469.0,0.93,"2,591",76.2,854,"1,941",44.0,20.0,14.0,58.8,476.0,635.0,75.0,18.7,629.0,18.5,11.0,431.0,12.68,675.0,230.0,34.1,349.0,966,28.4,"2,496",73.4,883,"1,975",44.7,"1,113",32.7,1.8,326.0,9.59,36.1,10.3,"1,173",34.5,14.0
San Jose St. (Mountain West),,912,26.06,1.3,428.0,416.0,1.03,"2,362",67.5,826,"1,970",41.9,21.0,14.0,60.0,359.0,529.0,67.9,15.1,545.0,15.6,6.0,291.0,8.31,700.0,240.0,34.3,265.0,814,23.3,"2,318",66.2,869,"1,996",43.5,"1,067",30.5,7.7,423.0,12.09,32.6,7.6,"1,335",38.14,10.3
Santa Clara (WCC),,910,27.58,3.8,460.0,414.0,1.11,"2,538",76.9,883,"2,035",43.4,23.0,10.0,69.7,425.0,604.0,70.4,18.3,519.0,15.7,7.0,392.0,11.88,785.0,281.0,35.8,275.0,742,22.5,"2,413",73.1,919,"2,026",45.4,"1,106",33.5,4.7,351.0,10.64,37.1,8.3,"1,261",38.21,12.9
Seattle U (WAC),,827,25.84,2.9,381.0,382.0,1.0,"2,303",72.0,791,"1,847",42.8,20.0,12.0,62.5,456.0,635.0,71.8,19.8,581.0,18.2,14.0,422.0,13.19,643.0,207.0,32.2,275.0,870,27.2,"2,209",69.0,786,"1,953",40.2,"1,125",35.2,1.9,359.0,11.22,31.6,8.6,"1,186",37.06,14.3
Seton Hall (Big East),,808,24.48,3.2,401.0,454.0,0.88,"2,256",68.4,762,"1,835",41.5,17.0,16.0,51.5,498.0,726.0,68.6,22.0,586.0,17.8,10.0,475.0,14.39,676.0,215.0,31.8,190.0,585,17.7,"2,149",65.1,784,"1,785",43.9,"1,121",34.0,1.1,349.0,10.58,32.5,5.8,"1,157",35.06,15.1
Siena (MAAC),,775,24.22,1.4,409.0,420.0,0.97,"2,195",68.6,793,"1,765",44.9,17.0,15.0,53.1,450.0,611.0,73.6,19.1,547.0,17.1,10.0,398.0,12.44,495.0,166.0,33.5,213.0,611,19.1,"2,151",67.2,766,"1,769",43.3,"1,019",31.8,2.5,323.0,10.09,34.9,6.7,"1,098",34.31,14.1
South Alabama (Sun Belt),,901,25.74,5.7,399.0,342.0,1.17,"2,483",70.9,853,"2,032",42.0,19.0,16.0,54.3,307.0,447.0,68.7,12.8,512.0,14.6,5.0,384.0,10.97,581.0,171.0,29.4,266.0,770,22.0,"2,282",65.2,955,"2,036",46.9,"1,253",35.8,-3.1,242.0,6.91,34.5,7.6,"1,143",32.66,8.8
South Carolina (SEC),,713,22.28,-8.3,355.0,421.0,0.84,"2,059",64.3,864,"1,858",46.5,11.0,21.0,34.4,327.0,495.0,66.1,15.5,512.0,16.0,14.0,336.0,10.5,674.0,228.0,33.8,244.0,755,23.6,"2,324",72.6,744,"1,846",40.3,"1,122",35.1,-1.0,378.0,11.81,32.3,7.6,"1,091",34.09,10.2
South Carolina St. (MEAC),,668,21.55,-10.5,435.0,486.0,0.9,"2,274",73.4,890,"1,785",49.9,5.0,26.0,16.1,385.0,575.0,67.0,18.5,637.0,20.5,10.0,485.0,15.65,652.0,259.0,39.7,213.0,671,21.6,"2,599",83.8,838,"1,980",42.3,"1,152",37.2,-1.8,429.0,13.84,31.7,6.9,"1,097",35.39,12.4
South Dakota (Summit League),,774,24.97,-4.3,385.0,360.0,1.07,"2,149",69.3,813,"1,800",45.2,12.0,19.0,38.7,364.0,476.0,76.5,15.4,540.0,17.4,10.0,305.0,9.84,718.0,256.0,35.7,275.0,706,22.8,"2,282",73.6,755,"1,750",43.1,"1,060",34.2,-0.6,267.0,8.61,39.0,8.9,"1,041",33.58,11.7
South Dakota St. (Summit League),,817,25.53,1.2,341.0,371.0,0.92,"2,270",70.9,826,"1,880",43.9,19.0,13.0,59.4,400.0,505.0,79.2,15.8,456.0,14.3,9.0,381.0,11.91,768.0,254.0,33.1,246.0,700,21.9,"2,233",69.8,812,"1,805",45.0,"1,092",34.1,-1.6,223.0,6.97,35.1,7.7,"1,040",32.5,12.5
South Fla. (AAC),,816,25.5,0.0,429.0,437.0,0.98,"2,303",72.0,783,"1,818",43.1,14.0,18.0,43.8,379.0,582.0,65.1,18.2,568.0,17.8,9.0,418.0,13.06,702.0,245.0,34.9,236.0,703,22.0,"2,303",72.0,844,"1,894",44.6,"1,087",34.0,3.4,381.0,11.91,33.6,7.4,"1,197",37.41,11.8
Southeast Mo. St. (OVC),,915,25.42,1.5,497.0,471.0,1.06,"2,789",77.5,928,"2,085",44.5,19.0,17.0,52.8,587.0,828.0,70.9,23.0,767.0,21.3,35.0,527.0,14.64,744.0,256.0,34.4,286.0,875,24.3,"2,734",75.9,958,"2,191",43.7,"1,305",36.3,-1.2,347.0,9.64,32.7,7.9,"1,262",35.06,16.3
Southeastern La. (Southland),,778,24.31,1.6,453.0,390.0,1.16,"2,483",77.6,861,"1,872",46.0,18.0,14.0,56.3,457.0,616.0,74.2,19.3,557.0,17.4,10.0,465.0,14.53,772.0,295.0,38.2,248.0,672,21.0,"2,432",76.0,889,"1,942",45.8,"1,135",35.5,-0.9,329.0,10.28,36.9,7.8,"1,107",34.59,14.3
USC (Pac-12),10,854,25.88,5.0,445.0,410.0,1.09,"2,389",72.4,776,"1,977",39.3,22.0,11.0,66.7,465.0,624.0,74.5,18.9,568.0,17.2,15.0,406.0,12.3,733.0,245.0,33.4,214.0,620,18.8,"2,224",67.4,855,"1,878",45.5,"1,181",35.8,-0.5,310.0,9.39,34.5,6.5,"1,164",35.27,14.1
Southern Ill. (MVC),,812,24.61,4.3,459.0,414.0,1.11,"2,168",65.7,743,"1,769",42.0,23.0,10.0,69.7,371.0,513.0,72.3,15.5,539.0,16.3,6.0,428.0,12.97,609.0,201.0,33.0,259.0,795,24.1,"2,026",61.4,769,"1,716",44.8,"1,067",32.3,-0.8,228.0,6.91,32.6,7.8,"1,040",31.52,11.2
Southern Miss. (Sun Belt),,837,25.36,7.7,489.0,403.0,1.21,"2,436",73.8,778,"1,874",41.5,25.0,8.0,75.8,444.0,622.0,71.4,18.8,545.0,16.5,6.0,481.0,14.58,709.0,225.0,31.7,230.0,714,21.6,"2,182",66.1,881,"1,937",45.5,"1,119",33.9,2.5,366.0,11.09,32.2,7.0,"1,203",36.45,13.5
Southern U. (SWAC),,756,23.63,0.6,451.0,468.0,0.96,"2,300",71.9,766,"1,741",44.0,15.0,17.0,46.9,448.0,627.0,71.5,19.6,639.0,20.0,13.0,552.0,17.25,722.0,239.0,33.1,244.0,737,23.0,"2,280",71.3,804,"1,872",42.9,"1,136",35.5,-3.1,281.0,8.78,33.1,7.6,"1,037",32.41,14.0
Southern Utah (WAC),,"1,032",27.89,8.1,485.0,492.0,0.99,"3,064",82.8,999,"2,270",44.0,24.0,13.0,64.9,623.0,859.0,72.5,23.2,680.0,18.4,25.0,527.0,14.24,829.0,288.0,34.7,313.0,887,24.0,"2,764",74.7,"1,064","2,286",46.5,"1,292",34.9,3.6,395.0,10.68,35.3,8.5,"1,427",38.57,16.8
St. Bonaventure (Atlantic 10),,747,23.34,-0.9,380.0,405.0,0.94,"2,136",66.8,735,"1,713",42.9,14.0,18.0,43.8,372.0,529.0,70.3,16.5,596.0,18.6,22.0,418.0,13.06,675.0,194.0,28.7,226.0,650,20.3,"2,165",67.7,769,"1,794",42.9,"1,104",34.5,-1.8,301.0,9.41,34.8,7.1,"1,048",32.75,11.6
St. Francis Brooklyn (NEC),,674,22.47,-2.9,369.0,414.0,0.89,"1,946",64.9,749,"1,677",44.7,14.0,16.0,46.7,366.0,524.0,69.8,17.5,460.0,15.3,10.0,409.0,13.63,454.0,177.0,39.0,204.0,577,19.2,"2,034",67.8,688,"1,701",40.4,"1,053",35.1,-1.2,342.0,11.4,35.4,6.8,"1,016",33.87,12.2
St. John's (NY) (Big East),,891,27.0,2.2,500.0,462.0,1.08,"2,552",77.3,885,"2,037",43.4,18.0,15.0,54.5,419.0,599.0,69.9,18.2,535.0,16.2,8.0,486.0,14.73,802.0,277.0,34.5,193.0,583,17.7,"2,481",75.2,970,"2,159",44.9,"1,178",35.7,4.4,433.0,13.12,33.1,5.8,"1,324",40.12,12.7
Stanford (Pac-12),,795,24.09,2.0,490.0,413.0,1.19,"2,321",70.3,806,"1,819",44.3,14.0,19.0,42.4,378.0,545.0,69.4,16.5,557.0,16.9,5.0,400.0,12.12,742.0,263.0,35.4,267.0,736,22.3,"2,256",68.4,838,"1,853",45.2,"1,041",31.5,2.9,342.0,10.36,36.3,8.1,"1,137",34.45,11.5
Stetson (ASUN),,765,24.68,3.0,429.0,329.0,1.3,"2,381",76.8,826,"1,821",45.4,17.0,14.0,54.8,356.0,461.0,77.2,14.9,484.0,15.6,5.0,317.0,10.23,692.0,244.0,35.3,311.0,811,26.2,"2,287",73.8,857,"1,860",46.1,"1,034",33.4,1.6,320.0,10.32,38.3,10.0,"1,085",35.0,11.5
Stony Brook (CAA),,867,26.27,-5.9,389.0,413.0,0.94,"2,083",63.1,824,"1,935",42.6,11.0,22.0,33.3,375.0,504.0,74.4,15.3,499.0,15.1,8.0,303.0,9.18,846.0,289.0,34.2,256.0,794,24.1,"2,279",69.1,726,"1,756",41.3,"1,161",35.2,-1.3,252.0,7.64,32.2,7.8,"1,119",33.91,11.4
Syracuse (ACC),,789,24.66,1.2,459.0,373.0,1.23,"2,372",74.1,851,"1,984",42.9,17.0,15.0,53.1,432.0,577.0,74.9,18.0,427.0,13.3,10.0,412.0,12.88,958.0,329.0,34.3,198.0,547,17.1,"2,333",72.9,871,"1,883",46.3,"1,159",36.2,-1.4,324.0,10.13,36.2,6.2,"1,113",34.78,13.5
