Team,Seed,DRebs,DRPG,SCR MAR,AST,TO,Ratio,PTS,PPG,OPP FG,OPP FGA,OPP FG%,W,L,Win%,FT,FTA,FT%,FTA PG,Fouls,PFPG,DQ,Opp TO,TO PG,Opp 3FGA,Opp 3FG,Opp 3FG%,3FG,3FGA,3FGA PG,OPP PTS,OPP PPG,FGM,FGA,FG%,OPP REB,OPP RPG,REB MAR,ORebs,ORPG,3FG%,3FG PG,REB,RPG,FT PG
Campbell (Big South),,799,23.5,1.3,416.0,404.0,1.03,"2,374",69.8,834,"1,837",45.4,16.0,18.0,47.1,486.0,691.0,70.3,20.3,554.0,16.3,13.0,420.0,12.35,763.0,263.0,34.5,228.0,683,20.1,"2,329",68.5,830,"1,777",46.7,"1,084",31.9,-0.5,267.0,7.85,33.4,6.7,"1,066",31.35,14.3
Canisius (MAAC),,695,23.17,-1.9,431.0,357.0,1.21,"2,109",70.3,815,"1,747",46.7,10.0,20.0,33.3,328.0,448.0,73.2,14.9,469.0,15.6,9.0,395.0,13.17,554.0,203.0,36.6,255.0,734,24.5,"2,167",72.2,763,"1,809",42.2,"1,073",35.8,-2.2,313.0,10.43,34.7,8.5,"1,008",33.6,10.9
Central Ark. (ASUN),,781,25.19,-8.6,384.0,413.0,0.93,"2,261",72.9,923,"1,963",47.0,9.0,22.0,29.0,361.0,482.0,74.9,15.5,508.0,16.4,9.0,385.0,12.42,769.0,279.0,36.3,264.0,818,26.4,"2,527",81.5,818,"1,987",41.2,"1,210",39.0,-2.6,347.0,11.19,32.3,8.5,"1,128",36.39,11.6
Central Conn. St. (NEC),,768,24.0,-4.2,413.0,380.0,1.09,"2,111",66.0,821,"1,836",44.7,10.0,22.0,31.3,310.0,437.0,70.9,13.7,451.0,14.1,3.0,350.0,10.94,683.0,242.0,35.4,219.0,669,20.9,"2,245",70.2,791,"1,874",42.2,"1,116",34.9,-0.8,324.0,10.13,32.7,6.8,"1,092",34.13,9.7
Central Mich. (MAC),,753,24.29,-7.3,333.0,494.0,0.67,"2,038",65.7,769,"1,757",43.8,10.0,21.0,32.3,443.0,642.0,69.0,20.7,614.0,19.8,20.0,415.0,13.39,735.0,255.0,34.7,191.0,637,20.5,"2,263",73.0,702,"1,688",41.6,"1,106",35.7,-0.3,343.0,11.06,30.0,6.2,"1,096",35.35,14.3
Charleston So. (Big South),,731,23.58,-1.7,373.0,365.0,1.02,"2,251",72.6,803,"1,747",46.0,10.0,21.0,32.3,362.0,498.0,72.7,16.1,562.0,18.1,14.0,350.0,11.29,704.0,253.0,35.9,251.0,731,23.6,"2,305",74.4,819,"1,850",44.3,"1,048",33.8,1.4,360.0,11.61,34.3,8.1,"1,091",35.19,11.7
Charlotte (CUSA),,835,23.19,4.4,470.0,382.0,1.23,"2,410",66.9,836,"1,912",43.7,22.0,14.0,61.1,349.0,465.0,75.1,12.9,489.0,13.6,3.0,402.0,11.17,726.0,246.0,33.9,291.0,772,21.4,"2,253",62.6,885,"1,871",47.3,"1,074",29.8,-0.2,231.0,6.42,37.7,8.1,"1,066",29.61,9.7
Chattanooga (SoCon),,933,26.66,5.1,536.0,407.0,1.32,"2,702",77.2,888,"2,099",42.3,18.0,17.0,51.4,456.0,639.0,71.4,18.3,552.0,15.8,9.0,369.0,10.54,893.0,298.0,33.4,398.0,"1,057",30.2,"2,523",72.1,924,"2,042",45.2,"1,185",33.9,2.4,335.0,9.57,37.7,11.4,"1,268",36.23,13.0
Chicago St. (DI Independent),,725,23.39,-2.7,379.0,422.0,0.9,"2,180",70.3,812,"1,783",45.5,11.0,20.0,35.5,404.0,555.0,72.8,17.9,561.0,18.1,15.0,357.0,11.52,680.0,234.0,34.4,256.0,755,24.4,"2,264",73.0,760,"1,757",43.3,"1,037",33.5,1.7,365.0,11.77,33.9,8.3,"1,090",35.16,13.0
Cincinnati (AAC),,938,26.06,7.8,559.0,384.0,1.46,"2,776",77.1,915,"2,142",42.7,23.0,13.0,63.9,418.0,592.0,70.6,16.4,570.0,15.8,10.0,438.0,12.17,669.0,209.0,31.2,314.0,894,24.8,"2,495",69.3,"1,022","2,281",44.8,"1,249",34.7,2.6,403.0,11.19,35.1,8.7,"1,341",37.25,11.6
